StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36255,PC,Player Character,What's your name?,"이름이 뭐지?",m2q3e_pete,,[지능 보통],,,0,0
36256,PC,Player Character,Can I ask you some questions?,"몇 가지 물어봐도 되겠나?",m2q3e_pete,,[지능 보통],,,0,0
36257,PC,Player Character,I need some directions.,"길 좀 알려줘.",m2q3e_pete,,[지능 보통],,,0,0
36258,PC,Player Character,"Uh, what your name?","어, 이름 뭐야?",m2q3e_pete,,[지능 낮음],,,0,0
36259,PC,Player Character,"Me have questions, okay?","나 물어볼 거 있어, 알았지?",m2q3e_pete,,[지능 낮음],,,0,0
36260,PC,Player Character,Me lost. This be big place.,"나 길 잃었어. 여기 진짜 커.",m2q3e_pete,,[지능 낮음],,,0,0
36261,PC,Player Character,Goodbye.,"잘 있어.",m2q3e_pete,,,,,0,0
36262,PC,Player Character,"Hi, I'm <FirstName>.","안녕, 난 <FirstName>이야.",m2q3e_pete,,[지능 보통],,,0,0
36263,PC,Player Character,You may call me <FullName>.,"<FullName>이라고 부르면 돼.",m2q3e_pete,,[지능 보통],,,0,0
36264,PC,Player Character,"Sorry, I generally don't give out my name.","미안, 원래 이름은 안 알려줘.",m2q3e_pete,,[매력 중간/지능 중간],,,0,0
36265,PC,Player Character,"Forget it, I'm not telling you who I am.","됐어, 내가 누군지 안 알려줄 거야.",m2q3e_pete,,[매력 낮음/지능 중간],,,0,0
36266,PC,Player Character,"Uh, me is <FirstName>, yuh?","어, 나는 <FirstName>, 응?",m2q3e_pete,,[지능 낮음],,,0,0
36267,PC,Player Character,"Me called <FullName>, yuh? Me happy to meet you.","나는 <FullName>, 응? 만나서 반가워.",m2q3e_pete,,[지능 낮음],,,0,0
36268,PC,Player Character,"Sorry, me no like saying name. Too many letters.","미안, 나 이름 말하기 싫어. 글자 너무 많아.",m2q3e_pete,,[매력 중간/지능 낮음],,,0,0
36269,PC,Player Character,Hmph. Me no tell you nothing.,"흥. 나 아무것도 안 알려줘.",m2q3e_pete,,[매력 낮음/지능 낮음],,,0,0
36270,PC,Player Character,What kind of trouble?,"무슨 문제인데?",m2q3e_pete,,[지능 보통],,,0,0
36271,PC,Player Character,What troubles you tell of?,"무슨 문제 말하는 거야?",m2q3e_pete,,[지능 낮음],,,0,0
36272,PC,Player Character,Where can I find these wolves?,"그 늑대들은 어디서 찾을 수 있어?",m2q3e_pete,,[지능 보통],,,0,0
36273,PC,Player Character,That doesn't seem like a whole lot of money.,"돈이 그리 많은 것 같진 않은데.",m2q3e_pete,,[지능 보통],,,0,0
36274,PC,Player Character,<StartCheck>[Persuade]</Start> Maybe if I you gave a bit of an advance... ,"<StartCheck>[설득]</Start> 선금을 좀 주면...",m2q3e_pete,,[지능 보통],,,0,0
36275,PC,Player Character,What kind of threat do these wolves pose?,"그 늑대들이 어떤 위협이 되는 거지?",m2q3e_pete,,[지능 보통],,,0,0
36276,PC,Player Character,"Sure, that sounds like something I could do.","알았어, 내가 할 수 있을 것 같아.",m2q3e_pete,,[지능 보통],,,0,0
36277,PC,Player Character,"Sorry, it doesn't sound like high adventure... ","미안, 별로 대단한 모험 같진 않은데...",m2q3e_pete,,[지능 보통],,,0,0
36278,PC,Player Character,"Uh, how me find dese wolfies?","어, 나 그 늑대들 어떻게 찾아?",m2q3e_pete,,[지능 낮음],,,0,0
36279,PC,Player Character,"Uh, that don't sound like heap load of money....","어, 그거 돈 많은 것 같지 않아...",m2q3e_pete,,[지능 낮음],,,0,0
36280,PC,Player Character,"<StartCheck>[Persuade]</Start> Maybe you give me gold first, yuh?","<StartCheck>[설득]</Start> 금화 먼저 주면, 응?",m2q3e_pete,,[지능 낮음],,,0,0
36281,PC,Player Character,There be other dangers?,"다른 위험도 있어?",m2q3e_pete,,[지능 낮음],,,0,0
