StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26974,PC,Player Character,Could I ask you some questions?,몇 가지 물어봐도 될까?,2q4a_galrone,,[지능 보통],,,0,0
26975,PC,Player Character,Me want ask questions.,나 질문할래.,2q4a_galrone,,[지능 낮음],,,0,0
26976,PC,Player Character,Goodbye.,그럼 이만.,2q4a_galrone,,,,,0,0
26977,PC,Player Character,Do you know anything about cults in the area?,이 근처 사교에 대해 아는 게 있나?,2q4a_galrone,,[지능 보통],,,0,0
26978,PC,Player Character,"You knows about cults, maybe?","사교 알아, 혹시?",2q4a_galrone,,[지능 낮음],,,0,0
26979,PC,Player Character,What's going on in Luskan?,러스칸에 무슨 일이 벌어지고 있지?,2q4a_galrone,,[지능 보통],,,0,0
26980,PC,Player Character,What go on in city?,도시에서 무슨 일 있어?,2q4a_galrone,,[지능 낮음],,,0,0
26981,PC,Player Character,Can I ask you some directions?,길을 좀 물어봐도 될까?,2q4a_galrone,,[지능 보통],,,0,0
26982,PC,Player Character,Me need directions.,나 길 필요해.,2q4a_galrone,,[지능 낮음],,,0,0
26983,PC,Player Character,Where is the nearest inn?,가장 가까운 여관은 어디지?,2q4a_galrone,,[지능 보통],,,0,0
26984,PC,Player Character,Where is the nearest temple?,가장 가까운 사원은 어디지?,2q4a_galrone,,[지능 보통],,,0,0
26985,PC,Player Character,Is there a place to buy equipment nearby?,근처에 장비를 살 곳이 있나?,2q4a_galrone,,[지능 보통],,,0,0
26986,PC,Player Character,Me look for place to sleep.,잘 곳 찾아.,2q4a_galrone,,[지능 낮음],,,0,0
26987,PC,Player Character,Me look for temple.,사원 찾아.,2q4a_galrone,,[지능 낮음],,,0,0
26988,PC,Player Character,Me need place to buy stuff.,물건 살 데 필요해.,2q4a_galrone,,[지능 낮음],,,0,0
26989,PC,Player Character,"Actually, I'd rather ask you about something else.",사실은 다른 걸 묻고 싶어.,2q4a_galrone,,[지능 보통],,,0,0
26990,PC,Player Character,"No, me have other question.","아니, 나 다른 질문 있어.",2q4a_galrone,,[지능 낮음],,,0,0
26991,PC,Player Character,Who are you?,넌 누구지?,2q4a_galrone,,[지능 보통],,,0,0
26992,PC,Player Character,Who be you?,너 누구야?,2q4a_galrone,,[지능 낮음],,,0,0
26993,PC,Player Character,I want to speak to you about Yvette's baby.,이베트의 아기에 대해 이야기하고 싶다.,2q4a_galrone,,nw_d2_j_fetch02,,,0,0
26994,PC,Player Character,Me want talk 'bout Yvette's baby.,나 이베트 아기 얘기 하고 싶어.,2q4a_galrone,,nw_d2_j_fetch03,,,0,0
26995,PC,Player Character,Be reasonable. Maybe we could work out some kind of deal.,좀 이성적으로 굴지. 어떻게 거래를 해볼까?,2q4a_galrone,,[지능 보통],,,0,0
26996,PC,Player Character,"How'd you like me to pry the child from your cold, dead hands?",차가운 네 시체 손에서 아이를 비틀어 빼내면 어떨까?,2q4a_galrone,nw_d1_small_evil,[지능 보통],,,0,0
26997,PC,Player Character,Fine. Keep it. I want to ask you about something else anyway.,좋아. 가지고 있어. 어차피 다른 걸 물어볼 게 있어.,2q4a_galrone,,[지능 보통],,,0,0
26998,PC,Player Character,"We make deal, maybe?","우리 거래해, 응?",2q4a_galrone,,[지능 낮음],,,0,0
26999,PC,Player Character,You give baby or me just kill you and takes it from you.,아기 내놔. 아니면 널 죽이고 뺏는다.,2q4a_galrone,nw_d1_small_evil,[지능 낮음],,,0,0
27000,PC,Player Character,Fine. Me no want it. Me want ask 'bout something else.,좋아. 그건 안 원해. 다른 거 물어볼래.,2q4a_galrone,,[지능 낮음],,,0,0
27001,PC,Player Character,1000 gp... deal.,금화 1000개... 좋아.,2q4a_galrone,nw_d1_j_fetch10,nw_d2_j_fetch15,,,0,0
27002,PC,Player Character,<StartCheck>[Persuade]</Start> I won't give you more than 250 gp.,<StartCheck>[설득]</Start> 금화 250개 이상은 안 줘.,2q4a_galrone,,nw_d2_j_fetch16,,,0,0
