StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
38609,PC,Player Character,What... dungeon?,무슨... 던전?,m2q5l01grkan,,[지능 보통],,,0,0
38610,PC,Player Character [M2Q5C],"<StartCheck>[Persuade]</Start> Yeah, that's me: here for the dungeon.","<StartCheck>[설득]</Start> 그래, 바로 나야: 던전 때문에 왔어.",m2q5l01grkan,,m2q5cscontest0n,[M2Q5C],,0,0
38611,PC,Player Character [M2Q5C],"No, I'm just passing through the area.","아니, 그냥 이 지역 지나가는 중이야.",m2q5l01grkan,,m2q5cscontest10n,[M2Q5C],,0,0
38612,PC,Player Character [M2Q5C],"Yes, of course. It should make for an interesting challenge.","그래, 물론. 흥미로운 도전이 될 거야.",m2q5l01grkan,,m2q5cscontest10,[M2Q5C],,0,0
38613,PC,Player Character,I'll be going.,이제 갈게.,m2q5l01grkan,,[지능 보통],,,0,0
38614,PC,Player Character,I can handle myself.,나 혼자 해결할 수 있어.,m2q5l01grkan,,[지능 보통],,,0,0
38615,PC,Player Character,"Oh, please. I've spit out the likes of you for breakfast.","아유, 웃기지 마. 너 같은 건 아침 식사로도 모자라.",m2q5l01grkan,,[지능 보통],,,0,0
38616,PC,Player Character,That sounds like a horrible contest!,끔찍한 시합 같은데!,m2q5l01grkan,,[지능 보통],,,0,0
38617,PC,Player Character,"All right, here. 100 gold.","알았어, 여기. 금화 100개.",m2q5l01grkan,,[지능 보통],,,0,0
38618,PC,Player Character,Forget it.,관두지.,m2q5l01grkan,,[지능 보통],,,0,0
38619,PC,Player Character,Me gives 100 gold. Me not care.,나 금화 100개 줄게. 나 상관없어.,m2q5l01grkan,,[지능 낮음],,,0,0
38620,PC,Player Character,<StartCheck>[Persuade]</Start> How about 75 gold?,<StartCheck>[설득]</Start> 금화 75개는 어때?,m2q5l01grkan,,[지능 보통],,,0,0
38621,PC,Player Character,<StartCheck>[Persuade]</Start> Me gots 75 golds enough?,<StartCheck>[설득]</Start> 나 금화 75개면 충분해?,m2q5l01grkan,,[지능 낮음],,,0,0
38622,PC,Player Character,<StartCheck>[Persuade]</Start> I'll give you 50.,<StartCheck>[설득]</Start> 50개 줄게.,m2q5l01grkan,,[지능 보통],,,0,0
38623,PC,Player Character,<StartCheck>[Persuade]</Start> Me gives 50 gold?,<StartCheck>[설득]</Start> 나 금화 50개 줄게?,m2q5l01grkan,,[지능 낮음],,,0,0
38624,PC,Player Character,You *will* tell me. NOW!,넌 *반드시* 말할 거야. 지금 당장!,m2q5l01grkan,,[지능 보통],,,0,0
38625,PC,Player Character,Me gots big killing story! Make you next!,나 대단한 살육 이야기 있어! 너 다음 차례 만들어 줄게!,m2q5l01grkan,,[지능 낮음],,,0,0
38626,PC,Player Character,Me not pay you moneys.,나 너한테 돈 안 줘.,m2q5l01grkan,,[지능 낮음],,,0,0
38627,PC,Player Character,You need not worry of me. Me do this.,나 걱정 안 해도 돼. 나 할 수 있어.,m2q5l01grkan,,[지능 낮음],,,0,0
38628,PC,Player Character,Me is tough. Me do this asleep.,나 강해. 나 자면서도 할 수 있어.,m2q5l01grkan,,[지능 낮음],,,0,0
38629,PC,Player Character,Me not like idea of this at all! Yuckies!,나 이거 전혀 안 좋아! 더러워!,m2q5l01grkan,,[지능 낮음],,,0,0
38630,PC,Player Character,What... dungeon?,무슨... 던전?,m2q5l01grkan,,[지능 낮음],,,0,0
38631,PC,Player Character [M2Q5C],"<StartCheck>[Persuade]</Start> Me is here for bloody dungeon. Yes, me is... *whistle*","<StartCheck>[설득]</Start> 나 피투성이 던전 때문에 왔어. 그래, 나... *휘파람*",m2q5l01grkan,,m2q5cscontest0l,[M2Q5C],,0,0
38632,PC,Player Character [M2Q5C],Me just walk from here to there is all.,나 그냥 여기서 저기로 걸어가는 거야.,m2q5l01grkan,,m2q5cscontest10l,[M2Q5C],,0,0
38633,PC,Player Character [M2Q5C],Me think this could be fun for all.,나 이거 모두한테 재밌을 것 같아.,m2q5l01grkan,,m2q5cscontest10l,[M2Q5C],,0,0
38634,PC,Player Character,Time to go bye.,이제 안녕.,m2q5l01grkan,,[지능 낮음],,,0,0
