StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
97084,Dialog,GHOST_INFO,The creature seems happy to see you and eager to resume its search.,생명체가 반갑다는 듯 다가오며 다시 길을 나서려 합니다.,H2_GHOST_INFO,h2a_scrv_follow,,,,0,0
97085,Dialog,GHOST_INFO,"The odd little creature follows close on your heel, waiting expectantly for you to lead it to the proper stone.","이상한 작은 생명체가 발뒤꿈치를 바짝 따라오며 알맞은 돌로 데려가 주기를 기다립니다.",H2_GHOST_INFO,,,,,0,0
97086,Dialog,GHOST_INFO,"The creature dodges your blow, apparently having already learned to expect this of you. It resumes its sniffing about, eager to find the stone it seeks.","생명체가 공격을 피합니다. 이미 이런 반응을 예상하는 법을 배운 모양입니다. 다시 냄새를 맡으며 돌을 찾아 나섭니다.",H2_GHOST_INFO,h2a_scrv_navcave,,,,0,0
97087,Dialog,GHOST_INFO,"The creature's body is covered in a hard carapace. You graze one of its razor-sharp edges, slicing through your well-worn boots and into your foot.","생명체의 몸은 단단한 갑각으로 덮여 있습니다. 날카로운 모서리에 스치는 바람에 닳은 장화가 찢어지고 발이 베입니다.",H2_GHOST_INFO,,,,,0,0
97088,Dialog,GHOST_INFO,"The creature's body is covered in a hard carapace. It feels warm to the touch, however, despite the dreadful cold. The creature nuzzles your hand, grateful for the attention.","생명체의 몸은 단단한 갑각으로 덮여 있습니다. 하지만 혹한 속에서도 만지면 따뜻합니다. 고마운 듯 당신의 손에 코를 비벼 댑니다.",H2_GHOST_INFO,h2a_scrv_shift_g,,,,0,0
97089,Dialog,GHOST_INFO,"The strange creature emits a sharp crackling noise, then runs around in a circle excitedly. It seems quite pleased that you know its name.","그 이상한 생명체는 날카로운 딱딱거리는 소리를 내더니, 신나서 빙글빙글 돕니다. 당신이 자신의 이름을 알고 있어서 꽤 기뻐하는 것 같습니다.",H2_GHOST_INFO,,,,,0,0
97090,Dialog,GHOST_INFO,"At the Sleeping Man's name, the creature crackles with enthusiasm. A picture forms above its head, depicting a winged man walking alongside the creature, throwing sticks for it to fetch.","잠자는 자의 이름을 듣자 생명체가 신나게 딱딱거립니다. 머리 위에 그림이 떠오르는데, 날개 달린 남자가 생명체와 함께 걸으며 막대기를 던져 물어오게 하는 모습입니다.",H2_GHOST_INFO,,,,,0,0
97091,Dialog,GHOST_INFO,The picture shifts and refocuses to show five question marks arranged in a row. The second of them pulses with a blue glow.,그림이 바뀌어 일렬로 늘어선 물음표 다섯 개를 보여줍니다. 그중 두 번째가 파란 빛으로 깜박입니다.,H2_GHOST_INFO,,,,,0,0
97092,Dialog,GHOST_INFO,"Images swarm above the creature's head. A snake-like creature swims through water while ""1+1=2"" glows brightly amidst a sea of more complex equations and a music note emerges from between closed lips.","생명체의 머리 위로 이미지들이 떠오릅니다. 날카로운 이빨, 보물이 담긴 상자, 그리고 향로에서 피어오르는 연기.",H2_GHOST_INFO,h2a_scrv_learn2,,,,0,0
97093,Dialog,GHOST_INFO,"The creature seems pleased that it was able to help, though it soon begins sniffing about, eager to find the stone it seeks.","생명체가 도움이 된 걸 기뻐하지만, 곧 냄새를 맡으며 다음 돌을 찾아 나섭니다.",H2_GHOST_INFO,,,,,0,0
97094,Dialog,GHOST_INFO,"The creature seems unsure how to express its intent more clearly. Almost apologetically, it forms the image of a rectangular stone pillar, buried in the ice amidst the city's squalor.","생명체가 자신의 뜻을 명확히 전하지 못하는 듯합니다. 미안한 듯, 도시의 폐허 사이 얼음에 묻힌 직사각형 돌기둥의 이미지를 보여줍니다.",H2_GHOST_INFO,,,,,0,0
97095,Dialog,GHOST_INFO,The creature crackles in apparent glee. It seems to enjoy this sort of game.,생명체가 기뻐하며 딱딱거립니다. 이런 놀이를 즐기는 모양입니다.,H2_GHOST_INFO,,,,,0,0
97096,Dialog,GHOST_INFO,"The creature sits on the frozen ground, patiently waiting for you to formulate your thoughts.","생명체가 얼어붙은 땅에 앉아 당신이 생각을 정리할 때까지 기다립니다.",H2_GHOST_INFO,,,,,0,0
97097,Dialog,GHOST_INFO,"The creature conjures up an image of a gray, rectangular pillar jutting up from the ice amidst the city's squalor. There appears to be something written down the side.","생명체가 도시의 폐허 사이 얼음 위로 솟은 회색 직사각형 기둥의 이미지를 띄웁니다. 옆면에 뭔가 적혀 있는 것 같습니다.",H2_GHOST_INFO,,,,,0,0
97098,Dialog,GHOST_INFO,"The creature shows you a series of four pictures: A traveler's resting house, a shark cutting through the water, a close-up of a winking face, and steam rising from a cup and saucer.","생명체가 두 장의 그림을 보여줍니다: 이끼 낀 오래된 무덤, 그리고 누군가 길게 내쉬는 한숨.",H2_GHOST_INFO,,,,,0,0
97099,Dialog,GHOST_INFO,"The creature shows you a man on his deathbed, then two others standing side by side, then a fourth man's leg, bared between his ankle-high boots and knee-length breeches.","생명체가 김이 모락모락 피어오르는 찻잔을 보여주고, 이어서 허공에 그려진 완벽한 원을 보여줍니다.",H2_GHOST_INFO,,,,,0,0
97100,Dialog,GHOST_INFO,"The creature shows you a sturdy oak, full with leaves, then a boy held in his father's arms. This second image seems to be focused on the boy rather than the father. ","생명체가 하늘에 걸린 창백한 반달을 보여주고, 이어서 먼지 쌓인 낡은 역사서를 보여줍니다. 두 번째 이미지는 그 책 자체에 초점이 맞춰져 있습니다.",H2_GHOST_INFO,,,,,0,0
97101,Dialog,GHOST_INFO,"The creature sniffs around the base of the stone, confused. Dissatisfied, it trots back to the previous stone to re-orient itself.","생명체가 혼란스러운 듯 돌 밑을 킁킁거립니다. 아닌 모양인지 방향을 잡으려고 이전 돌로 종종걸음 쳐 돌아갑니다.",H2_GHOST_INFO,,,,,0,0
