StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
46389,PC,Player Character,Give me one good reason I should let you live!,널 살려줘야 할 이유를 대봐!,m3q3a02vaath,,[지능 보통],,,0,0
46390,PC,Player Character,You give one good reason me let you live!,너 나한테 살려줘야 할 이유 말해 봐!,m3q3a02vaath,,[지능 낮음],,,0,0
46391,PC,Player Character,If you want to live you better answer my questions!,살고 싶으면 내 질문에 대답하는 게 좋을 거야!,m3q3a02vaath,,[지능 보통],,,0,0
46392,PC,Player Character,Who is you? Why you is attacking?,너 누구야? 왜 공격했어?,m3q3a02vaath,,[지능 낮음],,,0,0
46393,PC,Player Character,Who are you? Why did you attack me?,넌 누구야? 왜 날 공격한 거야?,m3q3a02vaath,,[지능 보통],,,0,0
46394,PC,Player Character,If you want live you got answer me questions!,살고 싶으면 너 내 질문에 대답해야 해!,m3q3a02vaath,,[지능 낮음],,,0,0
46395,PC,Player Character,"Forget it, dog! Time for you to die!","관둬, 개자식! 이제 죽을 시간이야!",m3q3a02vaath,,[지능 보통],,,0,0
46396,PC,Player Character,Me here to kill. Time you be dying!,나 죽이러 왔어. 이제 너 죽을 시간이야!,m3q3a02vaath,,[지능 낮음],,,0,0
46397,PC,Player Character,Give me the gold and get out of here before I change my mind!,금화 내놓고 마음 바뀌기 전에 꺼져!,m3q3a02vaath,,[지능 보통],,,0,0
46398,PC,Player Character,You give gold now and scram before me change mind.,너 지금 금화 주고 나 마음 바뀌기 전에 도망쳐.,m3q3a02vaath,,[지능 낮음],,,0,0
46401,PC,Player Character,I think I'll just kill you and take your stuff anyway.,그냥 죽이고 물건 가져가는 게 낫겠어.,m3q3a02vaath,,[지능 보통],,,0,0
46402,PC,Player Character,Me just going to kill you and take you stuff anyway.,나 그냥 너 죽이고 너 물건 가져갈 거야.,m3q3a02vaath,,[지능 낮음],,,0,0
46403,PC,Player Character [M3Q3A],"I need something else, as well: your head.",한 가지 더 필요해: 네 머리.,m3q3a02vaath,,m3q3a_vaathb1,[M3Q3A],,0,0
46404,PC,Player Character [M3Q3A],"Me needs you head, too.",나 네 머리도 필요해.,m3q3a02vaath,,m3q3a_vaathb1a,[M3Q3A],,0,0
46405,PC,Player Character,I need it to collect a bounty.,현상금 받으려면 필요해.,m3q3a02vaath,,[지능 보통],,,0,0
46406,PC,Player Character,Me needs it for collect bounty.,나 현상금 받으려면 필요해.,m3q3a02vaath,,[지능 낮음],,,0,0
46407,PC,Player Character,Fine. I'll take the head from the other orc.,좋아. 다른 오크 머리를 가져갈게.,m3q3a02vaath,,[지능 보통],,,0,0
46408,PC,Player Character,Me takes other orc head instead. Okay.,나 다른 오크 머리 가져갈게. 좋아.,m3q3a02vaath,,[지능 낮음],,,0,0
46409,PC,Player Character,"No, I'll just take the head off your shoulders instead.","안 돼, 그냥 네 어깨에서 머리를 떼어낼 거야.",m3q3a02vaath,,[지능 보통],,,0,0
46410,PC,Player Character,"Me no want fake head! Me kills you now, takes real head!","나 가짜 머리 필요 없어! 나 지금 너 죽이고, 진짜 머리 가져갈 거야!",m3q3a02vaath,,[지능 낮음],,,0,0
65731,PC,Player Character [M3Q3A],Me need you head.,나 네 머리 필요해.,m3q3a02vaath,,m3q3a_vaathb1a,[M3Q3A],,0,0
65732,PC,Player Character [M3Q3A],Why should I? I need your head.,왜 그래야 해? 나 네 머리 필요해.,m3q3a02vaath,,m3q3a_vaathb1,[M3Q3A],,0,0
