StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
96995,PC,Player Character,"""Goodbye.""","""안녕.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
96996,PC,Player Character,"""Do you know the Reaper's True Name?""","""수확자의 진명을 아시나요?""",h2_ghost_generic,h2a_ghost_devour,h2c_reaper_name,,,0,0
96997,PC,Player Character,"""Who?""","""누구요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
96998,PC,Player Character,"""What is this place?""","""이곳이 어디죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
96999,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97000,PC,Player Character,"""Baator? What are you talking about?""","""베이아터? 무슨 말씀이세요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97001,PC,Player Character,"""Eight Hells? How many are there, anyway?""","""여덟 지옥? 도대체 몇 개나 있는 거죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97002,PC,Player Character,"""What's the difference between a devil and a demon?""","""마귀와 악마의 차이가 뭐죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97003,PC,Player Character,"""Who calls this city home?""","""이 도시를 고향이라 부르는 자는 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97004,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97005,PC,Player Character,"""Who is the Sleeping Man?""","""잠자는 자가 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97006,PC,Player Character,"""Who are the githzerai?""","""기스제라이가 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97007,PC,Player Character,"""Why are the devils mining ice?""","""마귀들은 왜 얼음을 캐나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97008,PC,Player Character,"""Why are there less and less spirits every day?""","""왜 매일 영혼이 점점 줄어드나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97009,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97010,PC,Player Character,"""Is there any way to stop this devouring?""","""이 포식을 멈출 방법이 있나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97011,PC,Player Character,"""Who are the Lost?""","""길잃은 자들이 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97012,PC,Player Character,"""What was her name?""","""그녀의 이름이 뭐였죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97013,PC,Player Character,"""But if nobody knows your name, who does the engraving?""","""하지만 아무도 이름을 모른다면, 누가 새기는 거죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97014,PC,Player Character,"""The Scrivener? Who's that?""","""기록관이요? 그게 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97015,PC,Player Character,"""Who was the Scrivener's guide?""","""기록관의 안내자는 누구였죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97016,PC,Player Character,"""Tell me about the spirit who confronted Mephistopheles.""","""메피스토펠레스와 맞섰던 영혼에 대해 말해주세요.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97017,PC,Player Character,"""Is there any way to help her?""","""그녀를 도울 방법이 있나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97018,PC,Player Character,"""How do I help her become one of the Lost?""","""그녀가 길잃은 자들 중 하나가 되도록 어떻게 돕죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97019,PC,Player Character,"""What does it mean to have one's soul devoured?""","""영혼이 포식당한다는 게 무슨 의미죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97020,PC,Player Character,"""Toril? That's where I'm from...""","""토릴이요? 그게 제가 온 곳인데...""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97021,PC,Player Character,"""How did this city get its name?""","""이 도시는 어떻게 그 이름을 얻었나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97022,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97023,PC,Player Character,"""Who are the Lost?""","""길잃은 자들이 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97024,PC,Player Character,"""Tell me about the spirit who confronted Mephistopheles.""","""메피스토펠레스와 맞섰던 영혼에 대해 말해주세요.""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97025,PC,Player Character,"""Is there any way to help her?""","""그녀를 도울 방법이 있나요?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97026,PC,Player Character,"""How do I help her become one of the Lost?""","""그녀가 길잃은 자들 중 하나가 되도록 어떻게 돕죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97027,PC,Player Character,"""The Scrivener? Who's that?""","""기록관요? 그게 누구죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
97028,PC,Player Character,"""Who was the Scrivener's guide?""","""기록관의 안내자는 누구였죠?""",h2_ghost_generic,h2a_ghost_devour,,,,0,0
