StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
106094,PC,Player Character,"""Time to turn you into scrap metal!""","""고철로 만들어줄 시간이야!""",q4c_ferron,,,,,0,0
106095,PC,Player Character,"""You're pretty well spoken, for a golem.""","""골렘 치고는 말을 꽤 잘하네.""",q4c_ferron,,,,,0,0
106096,PC,Player Character,"""Enough talking. Time to die, golem!""","""말은 그만. 죽을 시간이야, 골렘!""",q4c_ferron,,,,,0,0
106097,PC,Player Character,"""Help you? You golems have been attacking me everywhere I go!""","""도와달라고? 너희 골렘들은 내가 가는 곳마다 공격해왔잖아!""",q4c_ferron,,,,,0,0
106098,PC,Player Character,"""I should be going now.""","""이만 가봐야겠어.""",q4c_ferron,,,,,0,0
106099,PC,Player Character,"""Why are you at war?""","""왜 전쟁 중이야?""",q4c_ferron,,,,,0,0
106100,PC,Player Character,"""Who's Aghaaz?""","""아가즈가 누구야?""",q4c_ferron,,,,,0,0
106101,PC,Player Character,"""Sorry, I'm not interested in this.""","""미안하지만, 관심 없어.""",q4c_ferron,,,,,0,0
106102,PC,Player Character,"""I'd rather just kill you.""","""그냥 널 죽이는 게 낫겠어.""",q4c_ferron,,,,,0,0
106103,PC,Player Character,"""Fine, I'll listen. But make it quick.""","""좋아, 들어줄게. 하지만 빨리 해.""",q4c_ferron,,,,,0,0
106104,PC,Player Character,"""What do you want me to do?""","""내가 뭘 하길 원해?""",q4c_ferron,,,,,0,0
106105,PC,Player Character,"""The Power Source?""","""동력원?""",q4c_ferron,,,,,0,0
106106,PC,Player Character,"""I want no part of this.""","""난 여기 끼어들고 싶지 않아.""",q4c_ferron,,,,,0,0
106107,PC,Player Character,"""Forget it! I'm not your errand <boy/girl>.""","""됐어! 난 네 심부름꾼이 아니야.""",q4c_ferron,,,,,0,0
106108,PC,Player Character,"""If I get you the Power Source, you have to help me."" <StartAction>Tell Ferron about the Valsharess.</Start>","""동력원을 가져다주면, 날 도와줘야 해."" <StartAction>페론에게 발샤레스에 대해 말합니다.</Start>",q4c_ferron,,,,,0,0
106109,PC,Player Character,"""Aghaaz is dead.""","""아가즈는 죽었어.""",q4c_ferron,,q4c_aghaazdead,,,0,0
106110,PC,Player Character,"""Leader of the rebels?""","""반란군의 지도자?""",q4c_ferron,,,,,0,0
106111,PC,Player Character,"""Sentient golems? What are you talking about?""","""지성 있는 골렘? 무슨 말이야?""",q4c_ferron,,,,,0,0
106112,PC,Player Character,"""I'll be back once I have the Power Source.""","""동력원을 얻으면 다시 올게.""",q4c_ferron,,q4c_ferron99-,,,0,0
106113,PC,Player Character,"""You should know something: the Maker is dead.""","""알아야 할 게 있어. 창조주가 죽었어.""",q4c_ferron,,q4c_makerdead,,,0,0
106114,PC,Player Character,"""I want to ask you some questions.""","""몇 가지 물어볼 게 있어.""",q4c_ferron,,,,,0,0
