StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
97365,PC,Player Character,"""Goodbye.""","""안녕.""",h2_pilg_info,h2a_card_gameoff,,,,0,0
97366,PC,Player Character,"""Do you know the Reaper's True Name?""","""사신의 진명을 알아?""",h2_pilg_info,,h2c_reaper_name,,,0,0
97367,PC,Player Character,"""It's not worth anything.""","""별로 가치 없어.""",h2_pilg_info,,,,,0,0
97368,PC,Player Character,"""Here, have 10,000 gold.""","""여기, 금화 1만개야.""",h2_pilg_info,h2a_card_10000,h2c_card_10000,,,0,0
97369,PC,Player Character,"""Here, have 50,000 gold.""","""여기, 금화 5만개야.""",h2_pilg_info,h2a_card_50000,h2c_card_50000,,,0,0
97370,PC,Player Character,"""Here, have 100,000 gold.""","""여기, 금화 10만개야.""",h2_pilg_info,h2a_card_100000,h2c_card_100000,,,0,0
97371,PC,Player Character,"""Here, have 250,000 gold.""","""여기, 금화 25만개야.""",h2_pilg_info,h2a_card_250000,h2c_card_250000,,,0,0
97372,PC,Player Character,"""I'll give you everything I have.""","""내가 가진 걸 다 줄게.""",h2_pilg_info,,,,,0,0
97373,PC,Player Character,"""Why you rotten, lying thief!"" <StartAction>[Attack]</Start>","""이 썩은, 거짓말쟁이 도둑놈!"" <StartAction>[공격]</Start>",h2_pilg_info,nw_d1_attonend02,,,,0,0
97374,PC,Player Character,"""I'm trying to learn the Five-Fold Mysteries of the Sleeping Man.""","""잠자는 자의 오중 수수께끼를 배우려고 해.""",h2_pilg_info,,h2c_card_5fold,,,0,0
97375,PC,Player Character,"""Look, can you help me with the mysteries or not?""","""저기, 수수께끼를 도와줄 수 있어, 없어?""",h2_pilg_info,,,,,0,0
97376,PC,Player Character,"""You have something against the sensei?""","""사부한테 뭔가 불만이 있어?""",h2_pilg_info,,,,,0,0
97377,PC,Player Character,"""What kind of tussle are we talking about?""","""어떤 종류의 다툼을 말하는 거야?""",h2_pilg_info,,,,,0,0
97378,PC,Player Character,"""It's a matter of convenience, that's all.""","""편의상 그런 거야, 그뿐이야.""",h2_pilg_info,,,,,0,0
97379,PC,Player Character,"""It's not mumbo-jumbo. It's a matter of faith.""","""횡설수설이 아니야. 신앙의 문제야.""",h2_pilg_info,,,,,0,0
97380,PC,Player Character,"""Please, I must learn the Five-Fold Mysteries.""","""제발, 오중 수수께끼를 배워야 해.""",h2_pilg_info,,,,,0,0
97381,PC,Player Character,"""How did you figure out the mystery?""","""수수께끼를 어떻게 알아냈어?""",h2_pilg_info,,,,,0,0
97382,PC,Player Character,"""Have you ever asked the Knower of Places anything?""","""공간의 현자한테 뭔가 물어본 적 있어?""",h2_pilg_info,,,,,0,0
97383,PC,Player Character,"""What brings you to these parts?""","""여긴 어쩐 일이야?""",h2_pilg_info,,,,,0,0
97384,PC,Player Character,"""How long have you been traveling with them?""","""그들이랑 얼마나 오래 여행했어?""",h2_pilg_info,,,,,0,0
97385,PC,Player Character,"""Who did he seek?""","""그가 찾은 건 누구야?""",h2_pilg_info,,,,,0,0
97386,PC,Player Character,"""Who's the sensei?""","""사부가 누구야?""",h2_pilg_info,,,,,0,0
97387,PC,Player Character,"""How did you figure out the mystery?""","""수수께끼를 어떻게 알아냈어?""",h2_pilg_info,,,,,0,0
97388,PC,Player Character,"""Have you ever asked the Knower of Places anything?""","""공간의 현자한테 뭔가 물어본 적 있어?""",h2_pilg_info,,,,,0,0
97389,PC,Player Character,"""The Sleeping Man?""","""잠자는 자?""",h2_pilg_info,,,,,0,0
97390,PC,Player Character,"""Who's the sensei?""","""사부가 누구야?""",h2_pilg_info,,,,,0,0
97391,PC,Player Character,"""Wash your hands of what?""","""뭐에서 손 떼?""",h2_pilg_info,,,,,0,0
97392,PC,Player Character,"""Who's the sensei?""","""사부가 누구야?""",h2_pilg_info,,,,,0,0
97393,PC,Player Character,"""How did you plan to wake the Sleeping Man?""","""잠자는 자를 어떻게 깨울 계획이었어?""",h2_pilg_info,,,,,0,0
97394,PC,Player Character,"""What's a fourth-fold mystery?""","""네 번째 수수께끼가 뭐야?""",h2_pilg_info,,,,,0,0
97395,PC,Player Character,"""Who's the sensei?""","""사부가 누구야?""",h2_pilg_info,,,,,0,0
97396,PC,Player Character,"""Where's Limbo?""","""림보가 어디야?""",h2_pilg_info,,,,,0,0
97397,PC,Player Character,"""I just need to find a way out of Cania.""","""카니아에서 나갈 길만 찾으면 돼.""",h2_pilg_info,,,,,0,0
97398,PC,Player Character,"""I don't understand.""","""이해가 안 돼.""",h2_pilg_info,,,,,0,0
97399,PC,Player Character,"""Pilgrims?""","""순례자들?""",h2_pilg_info,,,,,0,0
