StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
29677,PC,Player Character,Nothing. I'm good.,아무것도 아니야. 괜찮아.,m2q1a00bmaid,,[지능 보통],,,0,0
29678,PC,Player Character,Nuttin'. Me good.,아무것도 아니야. 나 괜찮아.,m2q1a00bmaid,,[지능 낮음],,,0,0
29679,PC,Player Character,Could you tell me about some of your customers?,손님들에 대해 좀 말해줄 수 있어?,m2q1a00bmaid,,[지능 보통],,,0,0
29680,PC,Player Character,"You tell me about da people here, yuh?",너 여기 사람들에 대해 말해줄래?,m2q1a00bmaid,,[지능 낮음],,,0,0
29681,PC,Player Character,"The elf, Elaith.","엘프, 엘레이스.",m2q1a00bmaid,,[지능 보통],,,0,0
29682,PC,Player Character,"The wizard, Wanev.","마법사, 와네브.",m2q1a00bmaid,,[지능 보통],,,0,0
29683,PC,Player Character,"The merchant, Alhelor.","상인, 알헬러.",m2q1a00bmaid,,[지능 보통],,,0,0
29684,PC,Player Character,"The boy, Ander.","소년, 앤더.",m2q1a00bmaid,,[지능 보통],,,0,0
29685,PC,Player Character,"The adventurer, Albie.","모험가, 앨비.",m2q1a00bmaid,,[지능 보통],,,0,0
29686,PC,Player Character,"The adventurer, Darktongue.","모험가, 다크텅.",m2q1a00bmaid,,[지능 보통],,,0,0
29687,PC,Player Character,"The adventurer, Peren.","모험가, 페렌.",m2q1a00bmaid,,[지능 보통],,,0,0
29688,PC,Player Character,"Dat elf, Elaith.","저 엘프, 엘레이스.",m2q1a00bmaid,,[지능 낮음],,,0,0
29689,PC,Player Character,"Dat wizard, Wanev.","저 마법사, 와네브.",m2q1a00bmaid,,[지능 낮음],,,0,0
29690,PC,Player Character,"Dat merchant, Al-hello.","저 상인, 알헬러.",m2q1a00bmaid,,[지능 낮음],,,0,0
29691,PC,Player Character,"Dat boy, Ander.","저 꼬마, 앤더.",m2q1a00bmaid,,[지능 낮음],,,0,0
29692,PC,Player Character,"Dat monster-basher, Albie.","저 괴물 사냥꾼, 앨비.",m2q1a00bmaid,,[지능 낮음],,,0,0
29693,PC,Player Character,"Dat monster-basher, Darktongue.","저 괴물 사냥꾼, 다크텅.",m2q1a00bmaid,,[지능 낮음],,,0,0
29694,PC,Player Character,"Dat monster-basher, Peren.","저 괴물 사냥꾼, 페렌.",m2q1a00bmaid,,[지능 낮음],,,0,0
29695,PC,Player Character,Nevermind.,괜찮아.,m2q1a00bmaid,,[지능 보통],,,0,0
29696,PC,Player Character,"Uh, me forget.","아, 나 잊어버렸어.",m2q1a00bmaid,,[지능 낮음],,,0,0
29697,PC,Player Character,Could I have an ale?,맥주 한잔 줄래?,m2q1a00bmaid,,[지능 보통],,,0,0
29698,PC,Player Character,"Me get ale, yuh?",나 맥주 마실래?,m2q1a00bmaid,,[지능 낮음],,,0,0
