StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50113,PC,Player Character,"Sorry, I didn't mean to interrupt.","미안해, 방해할 생각은 아니었어.",m0q01a07anse,,[지능 보통],,,0,0
50114,PC,Player Character,Me sorry. Me not mean to interrupt.,미안해. 나 방해할 생각 아니었어.,m0q01a07anse,,[지능 낮음],,,0,0
50115,PC,Player Character,I think I'll be going now.,이제 가볼게.,m0q01a07anse,,[지능 보통],,,0,0
50116,PC,Player Character,What's your problem? I'm just trying to be friendly.,뭐가 문제야? 그냥 친하게 지내려는 건데.,m0q01a07anse,,[지능 보통],,,0,0
50117,PC,Player Character,Me go now.,나 이제 가.,m0q01a07anse,,[지능 낮음],,,0,0
50118,PC,Player Character,Why you so mad? Me just want be talk at you.,왜 그렇게 화나? 나 그냥 말하고 싶었어.,m0q01a07anse,,[지능 낮음],,,0,0
50119,PC,Player Character,What do you have against Lady Aribeth?,아리베스 경에 대해 뭐가 불만이야?,m0q01a07anse,,[지능 보통],,,0,0
50120,PC,Player Character,How's your training going?,훈련은 어때?,m0q01a07anse,,[지능 보통],,,0,0
50121,PC,Player Character,I want to ask you a few questions.,질문 좀 하고 싶어.,m0q01a07anse,,[지능 보통],,,0,0
50122,PC,Player Character,Why you not like Aribeth?,왜 아리베스 싫어해?,m0q01a07anse,,[지능 낮음],,,0,0
50123,PC,Player Character,How you training going?,훈련 어때?,m0q01a07anse,,[지능 낮음],,,0,0
50124,PC,Player Character,Me want ask you some questions.,나 질문 좀 하고 싶어.,m0q01a07anse,,[지능 낮음],,,0,0
50125,PC,Player Character,What can you tell me about the plague?,역병에 대해 뭘 알려줄 수 있어?,m0q01a07anse,,[지능 보통],,,0,0
50126,PC,Player Character,What can you tell me about those rumors of a cure for the plague?,역병 치료법에 대한 소문에 대해 뭘 알려줄 수 있어?,m0q01a07anse,,[지능 보통],,,0,0
50127,PC,Player Character,How do you like training here at the Academy?,여기 사관학교에서 훈련하는 건 어때?,m0q01a07anse,,[지능 보통],,,0,0
50128,PC,Player Character,What you know 'bout plague?,역병에 대해 뭘 알아?,m0q01a07anse,,[지능 낮음],,,0,0
50129,PC,Player Character,You hear stuff 'bout cure for plague?,역병 치료법에 대한 얘기 들었어?,m0q01a07anse,,[지능 낮음],,,0,0
50130,PC,Player Character,You like training at Academy?,사관학교 훈련 좋아?,m0q01a07anse,,[지능 낮음],,,0,0
50131,PC,Player Character,I won't take much of your time. I promise.,시간 많이 안 걸릴 거야. 약속해.,m0q01a07anse,,[지능 보통],,,0,0
50132,PC,Player Character,Me speak at you quick. Me promise me not use much time.,나 빨리 말할게. 나 시간 많이 안 걸려. 약속해.,m0q01a07anse,,[지능 낮음],,,0,0
50133,PC,Player Character,You better answer my questions if you know what's good for you!,다치기 싫으면 내 질문에 답하는 게 좋을 거야!,m0q01a07anse,,[지능 보통],,,0,0
50134,PC,Player Character,You answer me question or you be sorry!,"나 질문 답해, 안 그러면 나중에 후회해!",m0q01a07anse,,[지능 낮음],,,0,0
50135,PC,Player Character,"Can you blame people for losing faith? After all, you can't help them.",사람들이 신앙을 잃는 걸 비난할 수 있어? 어쨌든 넌 그들을 도울 수 없잖아.,m0q01a07anse,,[지능 보통],,,0,0
50136,PC,Player Character,Why you mad people lose faith? You not help them anyway.,왜 사람들 신앙 잃는 거 화나? 너도 도와주지 못하잖아.,m0q01a07anse,,[지능 낮음],,,0,0
