StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
58801,PC,Player Character,Me need healing.,나 치료 필요해.,m2q1adeath,,[지능 낮음],,,0,0
58802,PC,Player Character,I need healing.,치료가 필요해요.,m2q1adeath,,[지능 보통],,,0,0
58803,PC,Player Character,Who you be?,너 누구야?,m2q1adeath,,[지능 낮음],,,0,0
58804,PC,Player Character,Who are you?,당신은 누구예요?,m2q1adeath,,[지능 보통],,,0,0
58805,PC,Player Character,Me not understand 'bout Stone of Recall and teleport portal.,나 귀환석이랑 순간이동 차원문 이해 못 해.,m2q1adeath,,[지능 낮음],,,0,0
58806,PC,Player Character,Teleportation portal? Stone of Recall? I don't understand.,순간이동 차원문? 귀환석? 이해가 안 돼요.,m2q1adeath,,[지능 보통],,,0,0
58807,PC,Player Character,That's handy.,편리하네요.,m2q1adeath,,,,,0,0
58808,PC,Player Character,Me need you go over that one more time.,나 한 번 더 설명해줘야 돼.,m2q1adeath,,[지능 낮음],,,0,0
58809,PC,Player Character,Can you explain that again?,다시 설명해 주실 수 있어요?,m2q1adeath,,[지능 보통],,,0,0
58810,PC,Player Character,Goodbye. ,안녕.,m2q1adeath,,,,,0,0
58811,PC,Player Character,Me need to return to mission. Me need to go back to place where me died. ,나 임무로 돌아가야 돼. 나 죽은 곳으로 다시 가야 돼.,m2q1adeath,,[지능 낮음],,,0,0
58812,PC,Player Character,How me get here?,나 어떻게 여기 왔어?,m2q1adeath,,[지능 낮음],,,0,0
58813,PC,Player Character,I need to return to my mission. I must get back to where I just was. ,임무로 돌아가야 해요. 방금 있던 곳으로 다시 가야 해요.,m2q1adeath,,[지능 보통],,,0,0
58814,PC,Player Character,What you suggest?,너 뭐 제안해?,m2q1adeath,,[지능 낮음],,,0,0
58815,PC,Player Character,What do you suggest?,뭘 제안하시나요?,m2q1adeath,,[지능 보통],,,0,0
58816,PC,Player Character,Me think you're right. Goodbye. ,나 네가 맞다고 생각해. 안녕.,m2q1adeath,,[지능 낮음],,,0,0
58817,PC,Player Character,I think you're right. I'll see you later. ,당신 말이 맞는 것 같아요. 나중에 봐요.,m2q1adeath,,[지능 보통],,,0,0
58818,PC,Player Character,Teleport portal? Recall Stone? What you be talking about?,순간이동 차원문? 귀환석? 너 무슨 말 하는 거야?,m2q1adeath,,[지능 낮음],,,0,0
58819,PC,Player Character,Teleportation portal? Stone of Recall? What are you talking about?,순간이동 차원문? 귀환석? 무슨 말씀을 하시는 거예요?,m2q1adeath,,[지능 보통],,,0,0
58820,PC,Player Character,That's handy.,편리하네요.,m2q1adeath,,,,,0,0
58821,PC,Player Character,You got bad attitude. Me want go back now!,너 태도 나빠. 나 지금 돌아가고 싶어!,m2q1adeath,,[지능 낮음],,,0,0
58822,PC,Player Character,Save the sarcasm and just get me back there.,비꼬는 건 그만두고 그냥 나를 거기로 돌려보내요.,m2q1adeath,,[지능 보통],,,0,0
58823,PC,Player Character,Me change my mind. Goodbye. ,나 마음 바꿨어. 안녕.,m2q1adeath,,[지능 낮음],,,0,0
58824,PC,Player Character,I've changed my mind. I'll see you later. ,마음을 바꿨어요. 나중에 봐요.,m2q1adeath,,[지능 보통],,,0,0
58825,PC,Player Character,Yes. Me want to go back now.,응. 나 지금 돌아가고 싶어.,m2q1adeath,,[지능 낮음],,,0,0
58826,PC,Player Character,Yes. Transport me there now. ,네. 지금 거기로 보내주세요.,m2q1adeath,,[지능 보통],,,0,0
58827,PC,Player Character,Just do it.,그냥 해요.,m2q1adeath,,,,,0,0
58828,PC,Player Character,How did I get here? ,어떻게 여기 온 거죠?,m2q1adeath,,[지능 보통],,,0,0
58829,PC,Player Character,Me no trust you Recall spell! You take spell off me now!,나 귀환 주문 믿지 않아! 너 주문 지금 풀어!,m2q1adeath,,[지능 낮음],,,0,0
58830,PC,Player Character,You say me be fully healed?,너 나 완전히 치료됐다고 말한 거야?,m2q1adeath,,[지능 낮음],,,0,0
58831,PC,Player Character,"I don't want your stupid Word of Recall spell teleporting me anywhere. Cancel the spell, right now!",귀환의 언령 주문이 나를 어딘가로 순간이동시키는 건 원하지 않아요. 지금 당장 주문을 취소해요!,m2q1adeath,,[지능 보통],,,0,0
58832,PC,Player Character,How me get back where me be before?,나 어떻게 전에 있던 곳으로 돌아가?,m2q1adeath,,[지능 낮음],,,0,0
58833,PC,Player Character,So how am I supposed to get back to where I was?,그럼 어떻게 원래 있던 곳으로 돌아가야 하나요?,m2q1adeath,,[지능 보통],,,0,0
58834,PC,Player Character,You mean I'm fully healed?,완전히 치료됐다는 말이에요?,m2q1adeath,,[지능 보통],,,0,0
58835,PC,Player Character,Me no remember you cast spell on me.,나 네가 주문 시전한 거 기억 못 해.,m2q1adeath,,[지능 낮음],,,0,0
58836,PC,Player Character,How come I don't remember you casting a Recall spell on me?,귀환 주문을 시전한 걸 왜 기억하지 못하는 거죠?,m2q1adeath,,[지능 보통],,,0,0
58837,PC,Player Character,Who you be?,너 누구야?,m2q1adeath,,[지능 낮음],,,0,0
58838,PC,Player Character,Who are you?,당신은 누구예요?,m2q1adeath,,[지능 보통],,,0,0
