StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
71696,Creature,Kipper,"Kip, kip, you no talks to me. You talks to boss! Urko, him be good boss, kip!","킵, 킵, 너 나한테 말하면 안 돼. 보스한테 말해! 우르코, 그분 좋은 보스야, 킵!",Q2_KIPPER,,,,,0,0
71697,Creature,Kipper,Is gnoll! We die now! AHHH!!,"놀이다! 우리 이제 죽어! 으악!!",Q2_KIPPER,,,,,0,0
71699,Creature,Kipper,Oh? We watches you! We watches you very close! Kip kip!!,"오? 우리 너 지켜봐! 아주 가까이 지켜봐! 킵 킵!!",Q2_KIPPER,q2_at_urkface_pc,,,,0,0
71870,Creature,Kipper,"Kip, kip! Ummm... what about ugly hand we gots? Me thought that be relic. What be relic, then?","킵, 킵! 음... 우리가 가진 못생긴 손은 뭐야? 나 그게 유물인 줄 알았어. 유물이 뭔데?",Q2_KIPPER,,,,,0,0
71873,Creature,Kipper,"Kip, kip, was that not place we just come from, boss? Place you stabs old dwarf?","킵, 킵, 거기 우리 방금 온 곳 아냐, 보스? 보스가 늙은 드워프 찔렀던 곳?",Q2_KIPPER,,,,,0,0
71876,Creature,Kipper,"Kip, kip! We must kills <him/her> now! Kills <him/her> now!","킵, 킵! 우리 <him/her> 지금 죽여야 해! 지금 죽여!",Q2_KIPPER,,,,,0,0
71877,Creature,Kipper,"Kip, kip! Now <he/she> know we goes there, <he/she> will know 'bout hand and tower and stuff. We in trouble.","킵, 킵! 이제 <he/she>가 우리 거기 간 거 알아, <he/she>가 손이랑 탑이랑 다 알게 돼. 우리 큰일 났어.",Q2_KIPPER,,,,,0,0
71885,Creature,Kipper,"Kip, kip, you not be boss here! Urko be boss and him say <man/woman> go away!","킵, 킵, 너 여기 보스 아냐! 우르코가 보스고 <man/woman> 꺼지라고 했어!",Q2_KIPPER,,,,,0,0
71889,Creature,Kipper,"Kip, kip, you not be boss here! Urko be boss and him say talks, so we talks!","킵, 킵, 너 여기 보스 아냐! 우르코가 보스고 말하래, 그래서 우리 말해!",Q2_KIPPER,,,,,0,0
71891,Creature,Kipper,"Them be big, ugly hairy things that likes to rips us to shreds. They attacks us on road, so we hides in here. We think they is waiting for us to come out.","그것들 크고 못생기고 털 많은 거야, 우리를 갈갈이 찢는 거 좋아해. 길에서 우리 공격해서 여기 숨어. 우리가 나오길 기다리는 것 같아.",Q2_KIPPER,,,,,0,0
71894,Creature,Kipper,"<StartCheck>[Failure]</Start> It lies, Urko, it lies, kip, kip! It not wants us to leave crypt! It wants us to die down here with nasty skeletons!","<StartCheck>[실패]</Start> 저거 거짓말해, 우르코, 거짓말이야, 킵, 킵! 저거 우리 납골당에서 나가는 거 싫어해! 우리가 더러운 해골들이랑 여기서 죽길 원해!",Q2_KIPPER,,,,,0,0
