Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
barrowdoorlisten,utd,Description,0,-1,"A heavy, stone door that's covered in moss and the detritus of years. You listen carefully as you approach.",
barrowdoorlisten,utd,LocName,0,5349,Stone Door,
door_metal,utd,Description,0,9070,"An old, rust covered door. Beneath the rust though, the door is still strong.",
door_metal,utd,LocName,0,5349,Old Rusty Door,
door_metal001,utd,Description,0,9070,"An old, rust covered door. Beneath the rust though, the door is still strong.",
door_metal001,utd,LocName,0,5349,Old Rusty Door,
door_metal002,utd,Description,0,9070,The tower stairs wind away from you. Who knows where they lead...,
door_metal002,utd,LocName,0,5349,Tower stairs,
dooreasy002,utd,Description,0,-1,A wooden door. You listen carefully as you approach it.,
dooreasy003,utd,Description,0,-1,A standard door.,
dooreasy004,utd,Description,0,-1,A standard door.,
dooreasy1,utd,Description,0,-1,A wooden door. You listen carefully as you approach it.,
dooreasy2,utd,Description,0,-1,"A heavy, stone door, covered in moss and lichen.",
dooreasy2,utd,LocName,0,5349,Stone Door,
rottendoor,utd,Description,0,-1,This wooden door is heavily rotted and covered in slime. Just a push would probably be the end of it.,
rottendoor,utd,LocName,0,5349,Rotten Door,
tn_gdoor_wd_001,utd,Description,0,9078,This hardwood door is locked. You have no reason to enter here.,
tn_gdoor_wd_001,utd,LocName,0,5349,Locked Door,
