StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
28676,PC,Player Character,"What would the reward be, exactly?",정확히 보상이 뭔데?,2q4d_kurth,,[지능 보통],,,0,0
28677,PC,Player Character,What kind reward you mean?,무슨 보상 말하는 거야?,2q4d_kurth,,[지능 낮음],,,0,0
28678,PC,Player Character,Baram already made me the same offer.,바람이 이미 같은 제안을 했어.,2q4d_kurth,,2q4_kurth01,,,0,0
28679,PC,Player Character,Baram made same offer.,바람 같은 제안 했어.,2q4d_kurth,,2q4_kurth02,,,0,0
28680,PC,Player Character,"Baram is already dead, actually.","사실 바람은 이미 죽었어.",2q4d_kurth,,2q4_kurth03,,,0,0
28681,PC,Player Character,"Baram dead, already.",바람 이미 죽었어.,2q4d_kurth,,2q4_kurth04,,,0,0
28682,PC,Player Character,I would never work for you!,널 위해서는 절대 일 안 해!,2q4d_kurth,,[지능 보통],,,0,0
28683,PC,Player Character,Me never works for you!,나 절대 너 위해 안 일해!,2q4d_kurth,,[지능 낮음],,,0,0
28684,PC,Player Character,"I have some questions, first.","먼저 몇 가지 질문이 있어.",2q4d_kurth,,[지능 보통],,,0,0
28685,PC,Player Character,"Me has questions, first.","나 먼저 질문 있어.",2q4d_kurth,,[지능 낮음],,,0,0
28686,PC,Player Character,"What about Elynwyd's sister, Evaine? Do you have her?","엘린위드의 동생 에바인은? 네가 가지고 있어?",2q4d_kurth,,2q4_kurth05,,,0,0
28687,PC,Player Character,"What about elf's sister, Evaine? You haves her?",엘프 동생 에바인은? 너 가지고 있어?,2q4d_kurth,,2q4_kurth06,,,0,0
28688,PC,Player Character,"<StartCheck>[Persuade]</Start> Perhaps. I want more gold, however.","<StartCheck>[설득]</Start> 아마. 하지만 금화를 더 원해.",2q4d_kurth,2q4_perslim2,2q4_perslimn2,,,0,0
28689,PC,Player Character,<StartCheck>[Persuade]</Start> Maybe. Me wants more gold.,<StartCheck>[설득]</Start> 아마. 나 금화 더 원해.,2q4d_kurth,2q4_perslim2,2q4_persliml2,,,0,0
28690,PC,Player Character,"Aye, I'm interested.","그래, 관심 있어.",2q4d_kurth,,[지능 보통],,,0,0
28691,PC,Player Character,"Yeah, me interested.","그래, 나 관심 있어.",2q4d_kurth,,[지능 낮음],,,0,0
28692,PC,Player Character,I want her released.,그녀를 풀어줘.,2q4d_kurth,,[지능 보통],,,0,0
28693,PC,Player Character,Me wants her released.,나 그녀 풀어주길 원해.,2q4d_kurth,,[지능 낮음],,,0,0
