StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
74870,PC,Player Character,"I agree, that wasn't very fair of him.","맞아, 드로건 스승님이 좀 불공평했어.",xp1_q1xanos,,,,,0,0
74871,PC,Player Character,Master Drogan wanted you to rescue a goblin? Why?,드로건 스승님이 고블린을 구하라고 했다고? 왜?,xp1_q1xanos,,,,,0,0
74872,PC,Player Character,"You are an idiot, girl. Do you want to graduate or not?","넌 바보야, 미샤. 졸업하고 싶은 거야, 아닌 거야?",xp1_q1xanos,,,,,0,0
74873,PC,Player Character,"So you would leave a child to die, Mischa? What kind of paladin are you?","그럼 아이를 죽게 내버려 둔다는 거야, 미샤? 무슨 성기사가 그래?",xp1_q1xanos,,,,,0,0
74874,PC,Player Character,<StartAction>[Sigh]</Start>... don't any of you have anything better to do?,<StartAction>[한숨을 쉰다]</Start>... 너희 할 일 없어?,xp1_q1xanos,,,,,0,0
74875,PC,Player Character,Or maybe you're an idiot that will never get out of this school.,아니면 평생 이 학교에서 못 나갈 바보이거나.,xp1_q1xanos,,,,,0,0
74876,PC,Player Character,Maybe he was trying to teach you that paladins are merciful as well as righteous.,성기사는 정의로울 뿐만 아니라 자비로워야 한다는 걸 가르치려던 거 아닐까.,xp1_q1xanos,,xp1_wishigh,,,0,0
74877,PC,Player Character,"You'll learn in time, Mischa. Don't worry about it.","시간이 지나면 알게 될 거야, 미샤. 걱정 마.",xp1_q1xanos,,,,,0,0
74878,PC,Player Character,"You're a fool, Xanos. You have obviously learned nothing.","넌 바보야, 자노스. 아무것도 못 배운 게 확실해.",xp1_q1xanos,,,,,0,0
74879,PC,Player Character,"The rewards will be worth it in the end, I think.",결국엔 보상이 그만한 가치가 있을 거야.,xp1_q1xanos,,,,,0,0
74880,PC,Player Character,I don't know. I will see when the time comes.,모르겠어. 때가 되면 알겠지.,xp1_q1xanos,,,,,0,0
74881,PC,Player Character,I could not care less. I just want out of here.,관심 없어. 그냥 여기서 나가고 싶을 뿐이야.,xp1_q1xanos,,,,,0,0
74882,PC,Player Character,That's a stupid question. Of course I'm ready.,바보 같은 질문이네. 당연히 준비됐지.,xp1_q1xanos,,,,,0,0
74883,PC,Player Character,I believe I am.,그렇다고 생각해.,xp1_q1xanos,,,,,0,0
74884,PC,Player Character,"He'll have to pry it off my cold, dead finger.",죽은 내 손가락에서 빼가야 할걸.,xp1_q1xanos,,,,,0,0
74885,PC,Player Character,What ring? What are you talking about?,무슨 반지? 무슨 소리야?,xp1_q1xanos,,,,,0,0
74886,PC,Player Character,"I've never relied on that stupid ring, anyway.",그 쓸데없는 반지 같은 건 의지한 적도 없어.,xp1_q1xanos,,,,,0,0
74887,PC,Player Character,Mind your own business.,네 일이나 신경 써.,xp1_q1xanos,,,,,0,0
74888,PC,Player Character,"Whatever it is, I can't wait for this to be over.","뭐가 됐든, 빨리 끝났으면 좋겠어.",xp1_q1xanos,,,,,0,0
74889,PC,Player Character,"No, he hasn't. I have no idea what my final test will be.","아니, 안 그러셨어. 최종 시험이 뭔지 전혀 모르겠어.",xp1_q1xanos,,,,,0,0
74890,PC,Player Character,"I imagine my stealth and guile will be put to the test, somehow.",내 은신술과 교활함을 시험하시겠지.,xp1_q1xanos,,xp1_pcisrogue,,,0,0
74891,PC,Player Character,I am a monk. I expect my faith and skill at battle will be challenged.,난 수도사야. 내 신앙심과 전투 기술을 시험하실 거야.,xp1_q1xanos,,xp1_pcismonk,,,0,0
74892,PC,Player Character,I am a barbarian. I certainly hope it is my battle prowess that he will test.,난 야만전사야. 내 전투 능력을 시험하셨으면 좋겠어.,xp1_q1xanos,,xp1_pcisbarbar,,,0,0
74893,PC,Player Character,I am a bard. There is nothing that Drogan can send my way that I'm not prepared for.,난 음유시인이야. 드로건 스승님이 뭘 내놓든 준비됐어.,xp1_q1xanos,,xp1_pcisbard,,,0,0
74894,PC,Player Character,I have no doubt my magical arts will be put to the test.,분명 내 마법 실력을 시험하실 거야.,xp1_q1xanos,,nw_d2_arcane,,,0,0
74895,PC,Player Character,I am a druid. I expect my powers over nature will be challenged to the utmost.,난 드루이드야. 자연을 다스리는 내 힘을 최대한 시험하실 거야.,xp1_q1xanos,,xp1_pcisdruid,,,0,0
74896,PC,Player Character,I expect that Master Drogan will test the strength of my faith.,드로건 스승님이 내 신앙의 힘을 시험하실 거야.,xp1_q1xanos,,xp1_pciscleric,,,0,0
74897,PC,Player Character,I am a ranger. I expect my knowledge of the wilderness and battle to be tested.,난 순찰자야. 야생 지식과 전투 능력을 시험하실 거야.,xp1_q1xanos,,xp1_pcisranger,,,0,0
74898,PC,Player Character,I am a warrior. No doubt he will test my battle prowess to the utmost.,난 전사야. 분명 내 전투 능력을 최대한 시험하실 거야.,xp1_q1xanos,,xp1_pcisfighter,,,0,0
74899,PC,Player Character,I am a paladin. No doubt he will test my faith and my battle prowess.,난 성기사야. 분명 내 신앙과 전투 능력을 시험하실 거야.,xp1_q1xanos,,xp1_pcispaladin,,,0,0
74900,PC,Player Character,"If Master Drogan believes it is necessary, yes.",드로건 스승님이 필요하다고 생각하시면 그래야지.,xp1_q1xanos,,,,,0,0
74901,PC,Player Character,I respect Master Drogan. He is a learned man and a great wizard.,드로건 스승님을 존경해. 박식하시고 위대한 마법사시거든.,xp1_q1xanos,,,,,0,0
74902,PC,Player Character,I agree with Xanos. I don't care what Master Drogan thinks of me.,자노스 말이 맞아. 드로건 스승님이 날 어떻게 생각하든 상관없어.,xp1_q1xanos,,,,,0,0
