StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21917,PC,Player Character,Seen anything strange? Found anything odd?,이상한 걸 본 적 있나? 특이한 걸 찾았나?,m1q4b07gilda,,[지능 보통],,,0,0
21918,PC,Player Character,Tell me where you got it! Now!,그걸 어디서 구했는지 말해! 어서!,m1q4b07gilda,,[지능 보통],,,0,0
21919,PC,Player Character,Sorry to have bothered you.,귀찮게 해서 미안.,m1q4b07gilda,,[지능 보통],,,0,0
21920,PC,Player Character,Callik and Vengaul are probably filthy pirates I'll end up killing.,칼릭이랑 벵골은 아마 추악한 해적일 거다. 결국 내가 베어 넘길 놈들이지.,m1q4b07gilda,,[지능 보통],,,0,0
21921,PC,Player Character,Do you know where I could find Callik or Vengaul?,칼릭이나 벵골을 어디서 찾을 수 있는지 아나?,m1q4b07gilda,,[지능 보통],,,0,0
21922,PC,Player Character,Where did you get it?,그건 어디서 구했지?,m1q4b07gilda,,[지능 보통],,,0,0
21923,PC,Player Character [M1Q4C],"Could I have the coin, please?",동전 좀 주실래요?,m1q4b07gilda,m1q4gildaperlc10,m1q4cs045,[M1Q4C],,0,0
21924,PC,Player Character [M1Q4C],Ever heard of a Cockatrice?,코카트라이스에 대해 들어본 적 있어?,m1q4b07gilda,,m1q4cs043,[M1Q4C],,0,0
21925,PC,Player Character,What do you know of the area?,이 일대에 대해 아는 게 뭐지?,m1q4b07gilda,,[지능 보통],,,0,0
21926,PC,Player Character,Any interesting places around here?,이 근처에 볼 만한 곳이 있나?,m1q4b07gilda,,[지능 보통],,,0,0
21927,PC,Player Character,Why is going out more dangerous?,왜 밖에 나가면 더 위험하지?,m1q4b07gilda,,[지능 보통],,,0,0
21928,PC,Player Character,You know anything strange? Find any odd things?,이상한 거 알아? 특이한 거 찾았어?,m1q4b07gilda,,[지능 낮음],,,0,0
21929,PC,Player Character [M1Q4C],Have you every heard of a Cockatrice?,코카트라이스에 대해 들어본 적 있나요?,m1q4b07gilda,,m1q4cs044,[M1Q4C],,0,0
21930,PC,Player Character,Goodbye.,그럼 이만.,m1q4b07gilda,,[지능 보통],,,0,0
21931,PC,Player Character,What you know of area?,여기 주변 뭐 알아?,m1q4b07gilda,,[지능 낮음],,,0,0
21932,PC,Player Character [M1Q4C],You ever see a Cockatrice?,코카트라이스 본 적 있어?,m1q4b07gilda,,m1q4cs047,[M1Q4C],,0,0
21933,PC,Player Character [M1Q4C],You ever see a Cockatrice?,코카트라이스 본 적 있어?,m1q4b07gilda,,m1q4cs047,[M1Q4C],,0,0
21934,PC,Player Character,Bye.,간다.,m1q4b07gilda,,[지능 낮음],,,0,0
21935,PC,Player Character,Why it get dangerous to go out?,왜 밖에 나가면 위험해져?,m1q4b07gilda,,[지능 낮음],,,0,0
21936,PC,Player Character,Anywhere neat around here?,여기 재밌는 데 있어?,m1q4b07gilda,,[지능 낮음],,,0,0
21937,PC,Player Character,You know where me find this Callik or Vengaul?,칼릭이나 벵골 어디서 찾는지 알아?,m1q4b07gilda,,[지능 낮음],,,0,0
21938,PC,Player Character,Me bet Callik and Vengaul is pirates. Me probably kill them.,칼릭이랑 벵골 해적일 걸. 아마 내가 죽일 거야.,m1q4b07gilda,,[지능 낮음],,,0,0
21939,PC,Player Character,Sorry to bother. Bye.,귀찮게 해서 미안. 간다.,m1q4b07gilda,,[지능 낮음],,,0,0
21940,PC,Player Character [M1Q4C],"Could me have coin, maybe?",나 동전 가질 수 있어?,m1q4b07gilda,m1q4gildaperlc10,m1q4cs046,[M1Q4C],,0,0
21941,PC,Player Character,Where you get it?,그거 어디서 났어?,m1q4b07gilda,,[지능 낮음],,,0,0
21942,PC,Player Character,Tell me where you get it!,어디서 구했는지 말해!,m1q4b07gilda,,[지능 낮음],,,0,0
21943,PC,Player Character,Could I buy it?,그걸 내가 살 수 있을까?,m1q4b07gilda,,[지능 보통],,,0,0
21944,PC,Player Character,Could me buy it?,그거 내가 살래도 돼?,m1q4b07gilda,,[지능 낮음],,,0,0
