StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21388,PC,Player Character,I like your uniform. Can't leave until I get one.,네 제복 마음에 드는데. 하나 얻기 전까지는 못 가.,m1q4a01bloodsail,,[지능 보통],,,0,0
21389,PC,Player Character,"Let's have at it, Bloodsailor! Let's see how well you fight!","붙자, 핏빛 항해자! 네가 얼마나 싸우는지 보자!",m1q4a01bloodsail,,[지능 보통],,,0,0
21390,PC,Player Character,"All right, all right, I'm going.","알겠어, 알겠어. 간다.",m1q4a01bloodsail,,[지능 보통],,,0,0
21391,PC,Player Character,What do you Bloodsailors do? Anything illegal?,너희 핏빛 항해자들은 무슨 짓을 하지? 불법적인 짓도 하냐?,m1q4a01bloodsail,,[지능 보통],,,0,0
21392,PC,Player Character,Nice uniforms. Where can I get one?,제복 멋지군. 어디서 하나 구할 수 있지?,m1q4a01bloodsail,,[지능 보통],,,0,0
21393,PC,Player Character,We should trade. Give me a uniform and I don't call the guards.,거래하자. 제복을 주면 경비대는 부르지 않겠다.,m1q4a01bloodsail,,[지능 보통],,,0,0
21394,PC,Player Character,So how do I join?,"그래서, 어떻게 가입하지?",m1q4a01bloodsail,,[지능 보통],,,0,0
21395,PC,Player Character,I'm willing to help you on that. Come on!,그건 내가 도와주지. 가자!,m1q4a01bloodsail,,[지능 보통],,,0,0
21396,PC,Player Character,I go where I please. Will you try and stop me?,난 내가 원하는 곳으로 간다. 막아 보겠나?,m1q4a01bloodsail,,[지능 보통],,,0,0
21397,PC,Player Character,Sorry to have bothered you. Goodbye. ,방해해서 미안하군. 그럼 이만.,m1q4a01bloodsail,,[지능 보통],,,0,0
21398,PC,Player Character,"Yeah, yeah, now get ready to fight!","그래, 그래. 이제 싸울 준비해!",m1q4a01bloodsail,,[지능 보통],,,0,0
21399,PC,Player Character,Sorry for bothering. Bye.,방해 미안. 간다.,m1q4a01bloodsail,,[지능 낮음],,,0,0
21400,PC,Player Character,Me go where me want. You stop me?,나 가고 싶은 데 간다. 너 막을래?,m1q4a01bloodsail,,[지능 낮음],,,0,0
21401,PC,Player Character,Uniform nice. Where me get one?,제복 좋다. 어디서 하나 구해?,m1q4a01bloodsail,,[지능 낮음],,,0,0
21402,PC,Player Character,What Bloodsailors do? Illegal stuff?,핏빛 항해자 뭐 해? 불법 짓 해?,m1q4a01bloodsail,,[지능 낮음],,,0,0
21403,PC,Player Character,Me help you die! Come on!,"나 너 죽게 도와! 자, 덤벼!",m1q4a01bloodsail,,[지능 낮음],,,0,0
21404,PC,Player Character,So how me join?,그래서 나 어떻게 들어가?,m1q4a01bloodsail,,[지능 낮음],,,0,0
21405,PC,Player Character,We trade. Get me uniform and me not call guards.,거래하자. 제복 주면 경비대 안 부른다.,m1q4a01bloodsail,,[지능 낮음],,,0,0
21406,PC,Player Character,"Me go, me go.","간다, 간다.",m1q4a01bloodsail,,[지능 낮음],,,0,0
21407,PC,Player Character,"Let's go, Bloodsailor! You and me fight!","가자, 핏빛 항해자! 너랑 나 싸운다!",m1q4a01bloodsail,,[지능 낮음],,,0,0
21408,PC,Player Character,Me like uniform. Not leave until me get one.,나 제복 마음에 들어. 하나 얻기 전엔 안 나가.,m1q4a01bloodsail,,[지능 낮음],,,0,0
21409,PC,Player Character,Whatever. Now we fight!,됐어. 이제 싸운다!,m1q4a01bloodsail,,[지능 낮음],,,0,0
