StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
65666,PC,Player Character [M3Q02G],"You tell me how me gonna kill them golems again, 'kay?","골렘들 어떻게 죽이는지 다시 말해줘, 알지?",m3q02golspirit,,m3q02golspirit02,[M3Q02G],,0,0
65667,PC,Player Character [M3Q02G],Tell me how to destroy the guardian golems again.,수호 골렘들을 파괴하는 방법을 다시 말해줘.,m3q02golspirit,,m3q02golspirit01,[M3Q02G],,0,0
65668,PC,Player Character,Goodbye.,안녕.,m3q02golspirit,,,,,0,0
65669,PC,Player Character,Me look for Power Words.,나 권능의 언령 찾아.,m3q02golspirit,,[지능 낮음],,,0,0
65670,PC,Player Character,I am looking for the Words of Power.,권능의 언령을 찾고 있어.,m3q02golspirit,,[지능 보통],,,0,0
65671,PC,Player Character,Guar-di-an golem? Cre-a-tor? What you mean?,수-호 골-렘? 창-조-자? 무슨 뜻이야?,m3q02golspirit,,[지능 낮음],,,0,0
65672,PC,Player Character,Guardian golems? Creators? What are you talking about?,수호 골렘? 창조자? 무슨 소리야?,m3q02golspirit,,[지능 보통],,,0,0
65673,PC,Player Character,Who you be? Is you a ghost?,너 누구야? 유령이야?,m3q02golspirit,,[지능 낮음],,,0,0
65674,PC,Player Character,Who are you? Are you some type of spirit?,넌 누구야? 어떤 종류의 영혼이야?,m3q02golspirit,,[지능 보통],,,0,0
65675,PC,Player Character,You gotta know some way to beat them golems.,너 골렘들 이기는 방법 알고 있을 거야.,m3q02golspirit,,[지능 낮음],,,0,0
65676,PC,Player Character,Surely there must be some way to defeat these guardian golems.,분명 이 수호 골렘들을 물리칠 방법이 있을 거야.,m3q02golspirit,,[지능 보통],,,0,0
65677,PC,Player Character,"You not worry. Me gonna kill them golems and free you, ghosty!","걱정 마. 나 골렘들 죽이고 너 풀어줄게, 유령아!",m3q02golspirit,,[지능 낮음],,,0,0
65678,PC,Player Character,Don't worry - I'll destroy the golems and free your spirit!,걱정 마 - 골렘들을 파괴하고 네 영혼을 해방시켜줄게!,m3q02golspirit,,[지능 보통],,,0,0
65679,PC,Player Character,Go back in time? How me gonna do that?,시간 되돌려? 나 어떻게 그거 해?,m3q02golspirit,,[지능 낮음],,,0,0
65680,PC,Player Character,Go back in time? How am I supposed to do that?,시간을 되돌린다고? 어떻게 하라는 거야?,m3q02golspirit,,[지능 보통],,,0,0
65681,PC,Player Character,"If you not gonna talk normal, me is gonna leave!",너 정상적으로 말 안 하면 나 갈 거야!,m3q02golspirit,,[지능 낮음],,,0,0
65682,PC,Player Character,"If you won't talk sense, then I'm leaving!",제대로 말 안 할 거면 나 간다!,m3q02golspirit,,[지능 보통],,,0,0
65683,PC,Player Character,Who you be? Is you a ghost?,너 누구야? 유령이야?,m3q02golspirit,,[지능 낮음],,,0,0
65684,PC,Player Character,Who are you? Are you some kind of spirit?,넌 누구야? 무슨 종류의 영혼이야?,m3q02golspirit,,[지능 보통],,,0,0
65685,PC,Player Character,What is you saying? Me not get it.,무슨 소리 하는 거야? 나 이해 못 해.,m3q02golspirit,,[지능 낮음],,,0,0
65686,PC,Player Character,What are you trying to say? I don't understand you.,무슨 말을 하려는 거야? 이해가 안 돼.,m3q02golspirit,,[지능 보통],,,0,0
