Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
amion,utc,Description,0,-1,This elven ranger keeps a sharp eye on the bridge over the chasm. His body language expresses a nervous energy and expectation of an attack at any time.,
amion,utc,FirstName,0,-1,Amion,
amion,utc,LastName,0,-1,Galie,
ber,utc,Description,0,-1,"This deep gnome, or svirfneblin, seems nervous and confused.",
ber,utc,FirstName,0,-1,Ber,
ber,utc,LastName,0,-1,Delanion,
bessada,utc,FirstName,0,-1,Bessada,
bessada,utc,LastName,0,-1,Ne'Phaz,
bessada2,utc,FirstName,0,-1,Bessada,
bessada2,utc,LastName,0,-1,Ne'Phaz,
kipper,utc,Description,0,-1,"This halfling has a jolly, open look on his face; very different from the rangers in this area.",
kipper,utc,FirstName,0,-1,Kipper,
kipper,utc,LastName,0,-1,Van Gish,
kraegen,utc,Description,0,-1,This massively-muscled behemoth stands watching the south road like a tower made of flesh.,
kraegen,utc,FirstName,0,-1,Kraegen,
kraegen,utc,LastName,0,-1,Thoraulik,
melorius,utc,Description,0,-1,"This child looks at you with a curious gaze, seemingly unafraid.",
melorius,utc,FirstName,0,-1,Melorius,
melorius,utc,LastName,0,-1,Waldlaw,
ranger,utc,Description,0,-1,"This ranger looks, beaten, wounded and exhausted.",
ranger,utc,FirstName,0,-1,Ranger,
seeker,utc,Description,0,-1,"This ranger stands by the fire, surveying his wounded men and shaking his head with a bitter, twisted smile.",
seeker,utc,FirstName,0,-1,Seeker,
seeker,utc,LastName,0,-1,Jorian,
