StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
79455,PC,Player Character,Goodbye.,그럼 이만.,stonebutler,,,,,0,0
79456,PC,Player Character,Is this the Golem Emporium on Northwest Vizier Street?,여기가 북서 재상가의 골렘 상점이야?,stonebutler,,c_butler_emp_n,,,0,0
79457,PC,Player Character,What do you know about the mythal?,미살에 대해 뭘 알고 있어?,stonebutler,,,,,0,0
79458,PC,Player Character,What frightens you about the mythal's return?,미살이 돌아오면 뭐가 두려운 거야?,stonebutler,,,,,0,0
79459,PC,Player Character,Why did the mythal abandon you?,미살은 왜 너희를 버렸어?,stonebutler,,,,,0,0
79460,PC,Player Character,Why are you excited about the mythal's return?,미살이 돌아온다니 기대되는 이유가 뭐야?,stonebutler,,,,,0,0
79461,PC,Player Character,What is the mythal capable of?,미살로 뭘 할 수 있는데?,stonebutler,,,,,0,0
79462,PC,Player Character,The mythallar? What are those?,미살라? 그게 뭐야?,stonebutler,,,,,0,0
79463,PC,Player Character,The Temple of the Winds?,바람의 신전?,stonebutler,,,,,0,0
79464,PC,Player Character,Who... What are you?,"넌 누구... 아니, 뭐야?",stonebutler,,,,,0,0
79465,PC,Player Character,<StartCheck>[Insight]</Start> Customers? What did people come here to buy?,<StartCheck>[통찰]</Start> 손님? 사람들이 여기서 뭘 사러 왔는데?,stonebutler,,nw_d2_wis_intn,,,0,0
79466,PC,Player Character,These guardians... I need to destroy them. Tell me how.,그 수호자들을... 파괴해야 해. 방법을 알려줘.,stonebutler,,,,,0,0
79467,PC,Player Character,How did he keep them gentle?,어떻게 온순하게 만들었는데?,stonebutler,,,,,0,0
79468,PC,Player Character,Where is this ring?,그 반지는 어디 있어?,stonebutler,,,,,0,0
79469,PC,Player Character,But I must! I need that ring.,안 되지만 어쩔 수 없어! 그 반지가 필요하다고.,stonebutler,,,,,0,0
79470,PC,Player Character,You loved your maker?,제작자를 사랑했다고?,stonebutler,,,,,0,0
79471,PC,Player Character,"Forgive me, your speech is hard to follow.","미안한데, 네 말이 잘 안 들려.",stonebutler,,,,,0,0
79472,PC,Player Character,I hunt a medusa named Heurodis.,헤우로디스라는 메두사를 찾고 있어.,stonebutler,,,,,0,0
79473,PC,Player Character,Back to my other questions.,다른 질문으로 돌아갈게.,stonebutler,,,,,0,0
79474,PC,Player Character,She planned to study the city's lore and wisdom.,도시의 지식과 지혜를 연구하려고 왔대.,stonebutler,,,,,0,0
79475,PC,Player Character,She hoped to study the magic of ancient Netheril.,고대 네더릴의 마법을 연구하려고 왔대.,stonebutler,,,,,0,0
79476,PC,Player Character,She came to plunder the treasures of Undrentide.,언드렌타이드의 보물을 약탈하러 왔대.,stonebutler,,,,,0,0
79477,PC,Player Character,"She wanted to rule the city, make it fly again.",도시를 지배하고 다시 날게 만들려고 왔대.,stonebutler,,,,,0,0
79478,PC,Player Character,What can you tell me about the rest of the city?,도시의 다른 구역에 대해 말해 줘.,stonebutler,,,,,0,0
79479,PC,Player Character,What lay at the city's center?,도시 중심에 뭐가 있었어?,stonebutler,,,,,0,0
79480,PC,Player Character,What lay to the west?,서쪽에 뭐가 있었어?,stonebutler,,,,,0,0
79481,PC,Player Character,What lay to the south?,남쪽에 뭐가 있었어?,stonebutler,,,,,0,0
79482,PC,Player Character,What lay to the east?,동쪽에 뭐가 있었어?,stonebutler,,,,,0,0
79483,PC,Player Character,What lay to the north?,북쪽에 뭐가 있었어?,stonebutler,,,,,0,0
79484,PC,Player Character,There must be a way in!,들어갈 방법이 있을 거야!,stonebutler,,,,,0,0
79485,PC,Player Character,What great buildings?,무슨 거대한 건물들?,stonebutler,,,,,0,0
