StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
60137,PC,Player Character,Me need healing.,나 치료 필요해.,m2q6bdeath,,[지능 낮음],,,0,0
60138,PC,Player Character,I need healing.,저는 치료가 필요합니다.,m2q6bdeath,,[지능 보통],,,0,0
60139,PC,Player Character,Who you be?,너 누구야?,m2q6bdeath,,[지능 낮음],,,0,0
60140,PC,Player Character,Who are you?,당신은 누구죠?,m2q6bdeath,,[지능 보통],,,0,0
60141,PC,Player Character,Me not understand 'bout Stone of Recall and teleport portal.,나 귀환석이랑 순간이동 차원문 이해 못 해.,m2q6bdeath,,[지능 낮음],,,0,0
60142,PC,Player Character,Teleportation portal? Stone of Recall? I don't understand.,순간이동 차원문요? 귀환석요? 이해가 안 되는군요.,m2q6bdeath,,[지능 보통],,,0,0
60143,PC,Player Character,Me need you go over that one more time.,나 다시 한번 설명 필요해.,m2q6bdeath,,[지능 낮음],,,0,0
60144,PC,Player Character,Can you explain that again?,다시 설명해 주시겠습니까?,m2q6bdeath,,[지능 보통],,,0,0
60145,PC,Player Character,Goodbye. ,안녕히 계세요.,m2q6bdeath,,,,,0,0
60146,PC,Player Character,Me need to return to mission. Me need to go back to place where me died. ,나 임무로 돌아가야 해. 나 죽었던 곳으로 다시 가야 해.,m2q6bdeath,,[지능 낮음],,,0,0
60147,PC,Player Character,How me get here?,나 어떻게 여기 왔어?,m2q6bdeath,,[지능 낮음],,,0,0
60148,PC,Player Character,I need to return to my mission. I must get back to where I just was. ,저는 임무로 돌아가야 합니다. 방금 있었던 곳으로 돌아가야 해요.,m2q6bdeath,,[지능 보통],,,0,0
60149,PC,Player Character,Send me back.,날 다시 보내줘.,m2q6bdeath,,,,,0,0
60150,PC,Player Character,What should me do then?,그럼 나 뭐 해야 돼?,m2q6bdeath,,[지능 낮음],,,0,0
60151,PC,Player Character,What do you suggest I do then?,그럼 어떻게 하라고 제안하시는 겁니까?,m2q6bdeath,,[지능 보통],,,0,0
60152,PC,Player Character,Me think you're right. Goodbye. ,나 생각엔 네 말이 맞아. 안녕.,m2q6bdeath,,[지능 낮음],,,0,0
60153,PC,Player Character,I think you're right. I'll see you later. ,맞는 말씀이신 것 같네요. 나중에 뵙겠습니다.,m2q6bdeath,,[지능 보통],,,0,0
60154,PC,Player Character,Teleport portal? Recall Stone? What you be talking about?,순간이동 차원문? 귀환석? 무슨 말이야?,m2q6bdeath,,[지능 낮음],,,0,0
60155,PC,Player Character,Teleportation portal? Stone of Recall? What are you talking about?,순간이동 차원문요? 귀환석요? 무슨 말씀이죠?,m2q6bdeath,,[지능 보통],,,0,0
60156,PC,Player Character,Me want go back now!,나 지금 돌아가고 싶어!,m2q6bdeath,,[지능 낮음],,,0,0
60157,PC,Player Character,Just get me back there.,그냥 거기로 보내주세요.,m2q6bdeath,,[지능 보통],,,0,0
60158,PC,Player Character,Me change my mind. Goodbye. ,나 생각 바꿨어. 안녕.,m2q6bdeath,,[지능 낮음],,,0,0
60159,PC,Player Character,I've changed my mind. I'll see you later. ,생각이 바뀌었습니다. 나중에 뵙겠습니다.,m2q6bdeath,,[지능 보통],,,0,0
60160,PC,Player Character,Yes. Me want to go back now.,응. 나 지금 돌아가고 싶어.,m2q6bdeath,,[지능 낮음],,,0,0
60161,PC,Player Character,Yes. Transport me there now. ,네. 지금 거기로 보내주세요.,m2q6bdeath,,[지능 보통],,,0,0
60162,PC,Player Character,How did I get here? ,어떻게 여기 온 거죠?,m2q6bdeath,,[지능 보통],,,0,0
60163,PC,Player Character,Me no trust you Recall spell! You take spell off me now!,나 귀환 주문 안 믿어! 지금 주문 풀어줘!,m2q6bdeath,,[지능 낮음],,,0,0
60164,PC,Player Character,You say me be fully healed?,나 완전히 치료됐다고 했어?,m2q6bdeath,,[지능 낮음],,,0,0
60165,PC,Player Character,"I don't want your stupid Word of Recall spell teleporting me anywhere. Cancel the spell, right now!",당신의 멍청한 귀환의 언령 주문으로 날 어디든 순간이동시키는 건 싫어요. 주문을 당장 취소하세요!,m2q6bdeath,,[지능 보통],,,0,0
60166,PC,Player Character,How me get back where me be before?,나 어떻게 원래 있던 곳으로 돌아가?,m2q6bdeath,,[지능 낮음],,,0,0
60167,PC,Player Character,So how am I supposed to get back to where I was?,그럼 어떻게 원래 있던 곳으로 돌아가라는 거죠?,m2q6bdeath,,[지능 보통],,,0,0
60168,PC,Player Character,You mean I'm fully healed?,완전히 치료됐다는 말씀이신가요?,m2q6bdeath,,[지능 보통],,,0,0
60169,PC,Player Character,Me no remember you cast spell on me.,나 네가 주문 걸었던 거 기억 안 나.,m2q6bdeath,,[지능 낮음],,,0,0
60170,PC,Player Character,How come I don't remember you casting a Recall spell on me?,귀환 주문을 걸었다는 걸 왜 기억 못 하는 거죠?,m2q6bdeath,,[지능 보통],,,0,0
60171,PC,Player Character,Who you be?,너 누구야?,m2q6bdeath,,[지능 낮음],,,0,0
60172,PC,Player Character,Who are you?,당신은 누구죠?,m2q6bdeath,,[지능 보통],,,0,0
65551,PC,Player Character,Me must be going.,나 가야 해.,m2q6bdeath,,[지능 낮음],,,0,0
65552,PC,Player Character,I must go.,저는 가야 합니다.,m2q6bdeath,,[지능 보통],,,0,0
