StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26065,PC,Player Character [M1Q6F08],I will take the magical item.,마법 아이템을 받겠어.,m1q6f08guardian,m1q6f08guardend2,[지능 보통],[M1Q6F08],,0,0
26066,PC,Player Character [M1Q6F08],Me take magical item.,나 마법 아이템 받을래.,m1q6f08guardian,m1q6f08guardend2,[지능 낮음],[M1Q6F08],,0,0
26067,PC,Player Character [M1Q6F08],I will take the weapon.,무기를 받겠어.,m1q6f08guardian,m1q6f08guardend1,[지능 보통],[M1Q6F08],,0,0
26068,PC,Player Character [M1Q6F08],Me have the weapon.,나 무기 가질래.,m1q6f08guardian,m1q6f08guardend1,[지능 낮음],[M1Q6F08],,0,0
26069,PC,Player Character [M1Q6F08],Grant the power of Helm to aid me.,헬름의 힘을 주어 나를 도와줘.,m1q6f08guardian,m1q6f08guardend4,[지능 보통],[M1Q6F08],,0,0
26070,PC,Player Character [M1Q6F08],Grant power of Helm to aid me.,헬름의 힘 줘서 나 도와줘.,m1q6f08guardian,m1q6f08guardend4,[지능 낮음],[M1Q6F08],,0,0
26071,PC,Player Character [M1Q6F08],Nothing. I want nothing from you.,아무것도. 네게서 받을 건 아무것도 없어.,m1q6f08guardian,m1q6f08guardend6,[지능 보통],[M1Q6F08],,0,0
26072,PC,Player Character [M1Q6F08],"Nothing for me, I think.",아무것도 안 받을래.,m1q6f08guardian,m1q6f08guardend6,[지능 낮음],[M1Q6F08],,0,0
26073,PC,Player Character [M1Q6F08],Grant me your insight into events.,사건에 대한 네 통찰을 줘.,m1q6f08guardian,m1q6f08guardend6,[지능 보통],[M1Q6F08],,0,0
26074,PC,Player Character [M1Q6F08],Tell me what your insight sees.,네 통찰이 뭘 보는지 말해줘.,m1q6f08guardian,m1q6f08guardend6,[지능 낮음],[M1Q6F08],,0,0
26075,PC,Player Character,Where is my enemy?,내 적은 어디 있지?,m1q6f08guardian,,[지능 보통],,,0,0
26076,PC,Player Character,Where my enemy?,내 적 어디 있어?,m1q6f08guardian,,[지능 낮음],,,0,0
26077,PC,Player Character,Who is Desther's master?,데스터의 주인은 누구지?,m1q6f08guardian,,[지능 보통],,,0,0
26078,PC,Player Character,Who Desther's master?,데스터 주인 누구야?,m1q6f08guardian,,[지능 낮음],,,0,0
26079,PC,Player Character,Why was Neverwinter attacked?,왜 네버윈터가 공격받았지?,m1q6f08guardian,,[지능 보통],,,0,0
26080,PC,Player Character,Why Neverwinter attacked?,왜 네버윈터 공격받았어?,m1q6f08guardian,,[지능 낮음],,,0,0
26081,PC,Player Character,How do I bring peace to the world?,세상에 평화를 가져오려면 어떻게 해야 하지?,m1q6f08guardian,,[지능 보통],,,0,0
26082,PC,Player Character,How me bring peace to the world?,세상에 평화 어떻게 가져와?,m1q6f08guardian,,[지능 낮음],,,0,0
26083,PC,Player Character,Will you answer more questions?,질문을 더 받아줄 건가?,m1q6f08guardian,,[지능 보통],,,0,0
26084,PC,Player Character,Maybe me ask more questions?,질문 더 해도 돼?,m1q6f08guardian,,[지능 낮음],,,0,0
