StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
38826,PC,Player Character,Can I just ask you a quick question?,잠깐만 빠르게 질문 하나만 해도 돼요?,m2q5l01wtres,,[지능 보통],,,0,0
38827,PC,Player Character,Very well. I'll wait.,알겠어요. 기다릴게요.,m2q5l01wtres,,[지능 보통],,,0,0
38828,PC,Player Character,Do you know anything about what's going on in Luskan?,러스칸에서 무슨 일이 벌어지고 있는지 아세요?,m2q5l01wtres,,[지능 보통],,,0,0
38829,PC,Player Character,What are all these people here for?,이 사람들 다 뭐 때문에 여기 온 거예요?,m2q5l01wtres,,[지능 보통],,,0,0
38830,PC,Player Character,Anything interesting about the patrons?,손님들 중에 특이한 사람 있어요?,m2q5l01wtres,,[지능 보통],,,0,0
38831,PC,Player Character,Nevermind.,아무것도 아니에요.,m2q5l01wtres,,[지능 보통],,,0,0
38832,PC,Player Character,Who owns this place?,여기 주인이 누구예요?,m2q5l01wtres,,[지능 보통],,,0,0
38833,PC,Player Character [M2Q5W],What's so strange about Zamithra?,자미스라가 뭐가 그렇게 이상해요?,m2q5l01wtres,,m2q5waitress005,[M2Q5W],,0,0
38834,PC,Player Character,Oh. Do you feel the same as she does?,아. 당신도 그 사람처럼 생각해요?,m2q5l01wtres,,[지능 보통],,,0,0
38835,PC,Player Character,Me just gots quick question me ask.,나 잠깐 질문 하나만 할게.,m2q5l01wtres,,[지능 낮음],,,0,0
38836,PC,Player Character,"Okay, me wait.","알았어, 나 기다려.",m2q5l01wtres,,[지능 낮음],,,0,0
38837,PC,Player Character,Me gots questions about Luskan. You know anything?,나 러스칸에 대해 질문 있어. 뭐 알아?,m2q5l01wtres,,[지능 낮음],,,0,0
38838,PC,Player Character,Why these people is in here?,왜 이 사람들 여기 있어?,m2q5l01wtres,,[지능 낮음],,,0,0
38839,PC,Player Character,You see any people in here? Seem different?,여기 사람들 중에 누가 특이해 보여?,m2q5l01wtres,,[지능 낮음],,,0,0
38840,PC,Player Character,Me ask who owner is.,나 주인 누군지 물어봐.,m2q5l01wtres,,[지능 낮음],,,0,0
38841,PC,Player Character,Me not ask anything.,나 아무것도 안 물어봐.,m2q5l01wtres,,[지능 낮음],,,0,0
38842,PC,Player Character [M2Q5W],Why Zamithra strange to you? What you see?,왜 자미스라 이상해? 뭘 봤어?,m2q5l01wtres,,m2q5waitress006,[M2Q5W],,0,0
38843,PC,Player Character,Me wonders if you feel same way? Hates men?,나 궁금해. 너도 같은 생각이야? 남자 싫어해?,m2q5l01wtres,,[지능 낮음],,,0,0
38844,PC,Player Character,A minotaur? Tell me about him.,미노타우로스라고요? 그에 대해 말해줘요.,m2q5l01wtres,,[지능 보통],,,0,0
38845,PC,Player Character,What you mean minotaur? Tell.,무슨 미노타우로스? 말해봐.,m2q5l01wtres,,[지능 낮음],,,0,0
38846,PC,Player Character [M2Q5W],What was so strange about Zamithra?,자미스라가 뭐가 그렇게 이상했어요?,m2q5l01wtres,,m2q5waitress005,[M2Q5W],,0,0
38847,PC,Player Character [M2Q5W],Why Zamithra strange to you? What you see?,왜 자미스라 이상해? 뭘 봤어?,m2q5l01wtres,,m2q5waitress006,[M2Q5W],,0,0
