StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
70620,Creature,Piper,"And in the eighth hour of the third night, death came in the dark and left a swath of unbelievers to rot on the ground! It was a message! A portent of the new god who comes to the land!","그리고 셋째 밤 여덟 번째 시각에, 어둠 속에서 죽음이 찾아와 믿지 않는 자들을 땅 위에 썩도록 내버려 두었다! 이것은 징조다! 이 땅에 오시는 새로운 신의 전조다!",Q1GPIPER,act_piper_1,,,,0,0
70621,Creature,Piper,"For the unbelievers, he will come as a dark giant with fiery eyes and unending thirst for blood; but for those who believe, he shall be the gentle cowherd, who protects his followers.","믿지 않는 자들에게 그는 이글거리는 눈과 끝없는 피에 대한 갈망을 지닌 어둠의 거인으로 올 것이다. 하지만 믿는 자들에게 그는 따르는 이들을 보호하는 온화한 목자가 되리라!",Q1GPIPER,,,,,0,0
70623,Creature,Piper,"That has not been revealed to me yet. But follow me and do as I say, and the god who arises shall look on you favorably.","그것은 아직 내게 계시되지 않았다. 하지만 나를 따르고 내 말대로 하라, 그러면 일어나시는 신이 너희를 은혜롭게 여기시리라!",Q1GPIPER,,,,,0,0
70625,Creature,Piper,"Then damnation be upon your head, fool woman! You will be dead within the week. This much has the new god shown me.","그렇다면 저주가 네 머리 위에 임하리라, 어리석은 여인아! 너는 일주일 안에 죽을 것이다. 이것이 새로운 신께서 내게 보여주신 것이다!",Q1GPIPER,act_q1bpiper_9,,,,0,0
70626,Creature,Piper,"Even you, <FirstName>, shall have to choose! Will you doom yourself and die like farmer Hol, or will you repent of your ways and follow me?","<FirstName>, 너조차도 선택해야 할 것이다! 스스로 파멸을 택해 농부 홀처럼 죽을 것이냐, 아니면 잘못을 뉘우치고 나를 따를 것이냐?",Q1GPIPER,,,,,0,0
70627,Creature,Piper,"You walk on the dark path, <FirstName>. I foresee your death. It is imminent. Seek the new god, if you would avoid the inevitable!","<FirstName>, 너는 어둠의 길을 걷고 있다. 나는 네 죽음을 예견한다. 임박했도다. 정해진 운명을 피하고 싶다면 새로운 신을 구하라!",Q1GPIPER,,,,,0,0
70628,Creature,Piper,"He comes to purge the wicked! To follow him, give up this worldly life, with all of the trappings of success and give everything to him!","그는 사악한 자들을 정화하러 오신다! 그를 따르려면 이 세속의 삶과 성공이라는 허울을 모두 버리고 모든 것을 그에게 바쳐라!",Q1GPIPER,,,,,0,0
70632,Creature,Piper,Only a few shall believe and only a few shall be saved! The rest of you will die in the darkness! Soon he comes! Soon he comes!,"소수만이 믿을 것이고 소수만이 구원받을 것이다! 나머지는 어둠 속에서 죽으리라! 곧 그가 온다! 곧 그가 온다!",Q1GPIPER,,,,,0,0
70633,Creature,Piper,"No! Do not be tricked, my followers, by this unbeliever and <his/her> lies. I am the prophet of the new god!","아니다! 속지 마라, 나의 추종자들이여, 이 불신자와 그의 거짓말에! 나는 새로운 신의 예언자다!",Q1GPIPER,,,,,0,0
70635,Creature,Piper,"Yes, my faithful cattle! You shall be protected by the new god, for he is the cowherd who drives off the wolf!","그렇다, 나의 충실한 양떼여! 너희는 새로운 신의 보호를 받으리라, 그분은 늑대를 쫓아내는 목자이시기 때문이다!",Q1GPIPER,,,,,0,0
70636,Creature,Piper,"There will be panic and pain aplenty when the new god destroys the unbelievers! Verily, they shall all pay with their blood and souls.","새로운 신이 불신자들을 멸하실 때 공포와 고통이 넘쳐나리라! 진실로, 그들은 모두 피와 영혼으로 값을 치르리라!",Q1GPIPER,,,,,0,0
70637,Creature,Piper,It is your words that are blasphemous and you shall pay with darkness and destruction. I foresee your death!,"신성모독을 하는 자는 바로 너다! 너는 어둠과 파멸로 값을 치르리라. 나는 네 죽음을 예견한다!",Q1GPIPER,,,,,0,0
70638,Creature,Piper,"No, the new god protected me from the kobolds! Not one came near my precious shack! All praise to the new god!","아니다, 새로운 신께서 나를 코볼트로부터 지켜주셨다! 단 한 마리도 내 소중한 오두막 근처에 얼씬거리지 못했다! 새로운 신께 영광을!",Q1GPIPER,,,,,0,0
70639,Creature,Piper,"I was chosen to save this village from eternal damnation. If they continue down the path into darkness, all will be lost.","나는 이 마을을 영원한 저주에서 구하도록 선택받았다. 그들이 어둠으로 가는 길을 계속 걷는다면, 모든 것이 사라지리라.",Q1GPIPER,,,,,0,0
70640,Creature,Piper,"If we do not repent, then we shall be struck by a plague, just as Neverwinter has been. They too will heed the warnings of the new god, or be destroyed.","우리가 회개하지 않으면, 네버윈터처럼 역병에 시달릴 것이다. 그들도 새로운 신의 경고에 귀 기울이거나, 멸망하리라!",Q1GPIPER,,,,,0,0
70641,Creature,Piper,"Never before have the people been in such danger. I am the prophet who comes before. When the new god rises, I shall lead the people to him, and we shall all fall down in worship and praise.","일찍이 사람들이 이토록 위험에 처한 적이 없었다. 나는 앞서 오는 예언자다. 새로운 신이 일어나실 때, 나는 사람들을 그분께 인도하고, 우리 모두 엎드려 경배하고 찬양하리라!",Q1GPIPER,,,,,0,0
70642,Creature,Piper,There is nothing that godless old fool could have to say to me that my followers cannot also hear. Go on then and make your threats! ,"그 불경한 늙은 바보가 내게 할 말이라면 추종자들도 다 들어도 되는 말이다. 그럼 어디 협박이나 해봐라!",Q1GPIPER,,,,,0,0
70643,Creature,Piper,Do not forget the fate of those who mock me! Forget not the death of Hol Halstrom!,"나를 조롱하는 자들의 운명을 잊지 마라! 홀 할스트롬의 죽음을 잊지 마라!",Q1GPIPER,,,,,0,0
