StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36470,PC,Player Character,I don't think so.,아니라고 생각해.,m2q3g02fence,,,,,0,0
36471,PC,Player Character,Me no think so.,나 아니라고 생각해.,m2q3g02fence,,,,,0,0
36472,PC,Player Character,I spoke with you before.,전에 너랑 얘기했었어.,m2q3g02fence,,,,,0,0
36473,PC,Player Character,Me speak to you before.,나 전에 너랑 얘기했어.,m2q3g02fence,,,,,0,0
36474,PC,Player Character,Maybe you spoke with someone else?,다른 사람하고 얘기한 거 아냐?,m2q3g02fence,,,,,0,0
36475,PC,Player Character,Maybe you see someone not me?,아마 너 나 아닌 다른 사람 본 거야?,m2q3g02fence,,,,,0,0
36476,PC,Player Character,Farewell.,안녕.,m2q3g02fence,,,,,0,0
36477,PC,Player Character,Byes.,잘 가.,m2q3g02fence,,,,,0,0
36478,PC,Player Character,What are you waiting for?,뭘 기다리는 거야?,m2q3g02fence,,,,,0,0
36479,PC,Player Character,What you wait for?,너 뭐 기다려?,m2q3g02fence,,,,,0,0
36480,PC,Player Character,What is wrong with this town? You're all strange.,이 마을 뭔가 문제 있어? 너희 다 이상해.,m2q3g02fence,,,,,0,0
36481,PC,Player Character,This town not right. You all weird.,이 마을 이상해. 너희 다 이상해.,m2q3g02fence,,,,,0,0
36482,PC,Player Character,Who is Quint?,퀸트가 누구야?,m2q3g02fence,,,,,0,0
36483,PC,Player Character,Who Quint?,퀸트 누구야?,m2q3g02fence,,,,,0,0
36484,PC,Player Character,What happened to all of you?,너희한테 무슨 일이 있었던 거야?,m2q3g02fence,,,,,0,0
36485,PC,Player Character,What happen here?,여기 무슨 일 있었어?,m2q3g02fence,,,,,0,0
36486,PC,Player Character,I have to go into the castle now.,이제 성으로 들어가야 해.,m2q3g02fence,,,,,0,0
36487,PC,Player Character,Me gotta go in the castle nows.,나 지금 성으로 들어가야 해.,m2q3g02fence,,,,,0,0
36488,PC,Player Character,I'm leaving.,가겠어.,m2q3g02fence,,,,,0,0
36489,PC,Player Character,Me leaving.,나 간다.,m2q3g02fence,,,,,0,0
