StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
38011,PC,Player Character,*Your* graveyard?,*네* 묘지?,m2q5f07crtkr,,[지능 보통],,,0,0
38012,PC,Player Character,Who are you?,넌 누구야?,m2q5f07crtkr,,[지능 보통],,,0,0
38013,PC,Player Character,I'll be going.,이만 갈게.,m2q5f07crtkr,,[지능 보통],,,0,0
38014,PC,Player Character,"Are there many visitors, then?","그럼, 방문객이 많아?",m2q5f07crtkr,,[지능 보통],,,0,0
38015,PC,Player Character,"It's a rather small graveyard, isn't it?","꽤 작은 묘지네, 안 그래?",m2q5f07crtkr,,[지능 보통],,,0,0
38016,PC,Player Character,"Er... you're a loon, you know that?","어... 너 정신 나간 거 알지?",m2q5f07crtkr,,[지능 보통],,,0,0
38017,PC,Player Character,And just what sorts or secrets are you talking about?,도대체 무슨 비밀을 말하는 거야?,m2q5f07crtkr,,[지능 보통],,,0,0
38018,PC,Player Character,What's the Arcane Brotherhood?,비전 결사단이 뭔데?,m2q5f07crtkr,,[지능 보통],,,0,0
38019,PC,Player Character,Oh? And what's interesting about that?,오? 그게 뭐가 흥미로운데?,m2q5f07crtkr,,[지능 보통],,,0,0
38020,PC,Player Character,Where did they bury him?,그를 어디에 묻었는데?,m2q5f07crtkr,,[지능 보통],,,0,0
38021,PC,Player Character,So what's so interesting about one of them being buried here?,그래서 그 중 하나가 여기 묻힌 게 뭐가 흥미롭다는 거야?,m2q5f07crtkr,,[지능 보통],,,0,0
38022,PC,Player Character,So where did they bury this wizard?,그래서 그 마법사를 어디에 묻었는데?,m2q5f07crtkr,,[지능 보통],,,0,0
38023,PC,Player Character,You haven't gone down there?,거기 내려가 본 적 없어?,m2q5f07crtkr,,[지능 보통],,,0,0
38024,PC,Player Character,How about you give me that key and I'll go down there?,그 열쇠를 나한테 주면 내가 내려가 볼까?,m2q5f07crtkr,,[지능 보통],,,0,0
38025,PC,Player Character,"<StartCheck>[Persuade]</Start> I'll give 100 gold, though I'm sure this is a scam.","<StartCheck>[설득]</Start> 금화 100개 줄게, 사기인 거 뻔히 알지만.",m2q5f07crtkr,,[지능 보통],,,0,0
38026,PC,Player Character,"All right, then, 200 gold it is.","좋아, 그럼 금화 200개다.",m2q5f07crtkr,,m2q2_caretaker01,,,0,0
38027,PC,Player Character,"How about I take it off your dead body, gnome?","노움, 네 시체에서 빼앗는 건 어때?",m2q5f07crtkr,,[지능 보통],,,0,0
38028,PC,Player Character,*Your* graveyard? Me not sees you name on it.,*니* 묘지? 니 이름 안 보여.,m2q5f07crtkr,,[지능 낮음],,,0,0
38029,PC,Player Character,What you do here?,여기서 뭐해?,m2q5f07crtkr,,[지능 낮음],,,0,0
38030,PC,Player Character,Me will go now.,나 이제 간다.,m2q5f07crtkr,,[지능 낮음],,,0,0
38031,PC,Player Character,Why this place so small?,왜 여기 이렇게 작아?,m2q5f07crtkr,,[지능 낮음],,,0,0
38032,PC,Player Character,Oh? You gets visitors?,오? 손님 와?,m2q5f07crtkr,,[지능 낮음],,,0,0
38033,PC,Player Character,Me say you make no sense!,나 말하는데 니 말 이상해!,m2q5f07crtkr,,[지능 낮음],,,0,0
38034,PC,Player Character,Mmm... secrets... what kind secret?,음... 비밀... 무슨 비밀?,m2q5f07crtkr,,[지능 낮음],,,0,0
38035,PC,Player Character,Me not know what is. Arcane Brotherhood?,나 그거 몰라. 비전 결사단?,m2q5f07crtkr,,[지능 낮음],,,0,0
38036,PC,Player Character,Why that good secret?,왜 그게 좋은 비밀?,m2q5f07crtkr,,[지능 낮음],,,0,0
38037,PC,Player Character,Where he buried?,그 어디 묻혀?,m2q5f07crtkr,,[지능 낮음],,,0,0
38038,PC,Player Character,Why big deal one buried in cemetary?,왜 묘지에 하나 묻힌 게 대단해?,m2q5f07crtkr,,[지능 낮음],,,0,0
38039,PC,Player Character,Wizard buried where?,마법사 어디 묻혀?,m2q5f07crtkr,,[지능 낮음],,,0,0
38040,PC,Player Character,You not find out yourself?,니가 직접 안 알아봐?,m2q5f07crtkr,,[지능 낮음],,,0,0
38041,PC,Player Character,Me will takes key and gets stuff.,나 열쇠 받고 물건 가져올게.,m2q5f07crtkr,,[지능 낮음],,,0,0
