StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
23556,PC,Player Character,Where threat from?,위협은 어디서 와?,m1q5b02drak,,[지능 낮음],,,0,0
23557,PC,Player Character,Me continue looking.,나 계속 찾아볼게.,m1q5b02drak,,[지능 낮음],,,0,0
23558,PC,Player Character,I will continue my investigations.,조사를 계속하겠어.,m1q5b02drak,,[지능 보통],,,0,0
23559,PC,Player Character,I will lend my assistance where required.,필요한 곳에 도움을 주겠어.,m1q5b02drak,,[지능 보통],,,0,0
23560,PC,Player Character,I'll poke around on my own without your guidance.,네 안내 없이 혼자 알아보겠어.,m1q5b02drak,,[지능 보통],,,0,0
23561,PC,Player Character [M1Q5B02],Tell me of any people that need immediate help.,당장 도움이 필요한 사람들에 대해 말해줘.,m1q5b02drak,,m1q5b02drakclg6,[M1Q5B02],,0,0
23562,PC,Player Character,I will look into it.,알아보겠어.,m1q5b02drak,,[지능 보통],,,0,0
23563,PC,Player Character,Tell me of Jemanie.,제마니에 대해 말해줘.,m1q5b02drak,,[지능 보통],,,0,0
23564,PC,Player Character,Tell me of Krestal.,크레스탈에 대해 말해줘.,m1q5b02drak,,[지능 보통],,,0,0
23566,PC,Player Character,Maybe somebody less squeamish should replace you.,누군가 겁먹지 않을 사람이 당신을 대신하는게 좋겠네요.,m1q5b02drak,,[지능 보통],,,0,0
23567,PC,Player Character,I've seen how dangerous the undead can be.,언데드가 얼마나 위험한지 봤어.,m1q5b02drak,,[지능 보통],,,0,0
23568,PC,Player Character,Me know how dangerous dead ones are.,나 죽은 놈들 얼마나 위험한지 알아.,m1q5b02drak,,[지능 낮음],,,0,0
23569,PC,Player Character,Maybe you scaredy-cat. Somebody probably be better.,너 겁쟁이야. 다른 사람이 더 나을 거야.,m1q5b02drak,,[지능 낮음],,,0,0
23570,PC,Player Character,Me help wherever me can.,나 할 수 있는 데서 돕는다.,m1q5b02drak,,[지능 낮음],,,0,0
23571,PC,Player Character [M1Q5B02],You tell about people needing help.,도움 필요한 사람들 말해줘.,m1q5b02drak,,m1q5b02drakclg7,[M1Q5B02],,0,0
23572,PC,Player Character,Me look around without you helping.,나 네 도움 없이 둘러본다.,m1q5b02drak,,[지능 낮음],,,0,0
23574,PC,Player Character,Tell me about Krestal lad.,크레스탈 녀석 얘기해 줘.,m1q5b02drak,,[지능 낮음],,,0,0
23575,PC,Player Character,Tell me about Jemananama-whosis.,제마니-뭐시기 얘기해 줘.,m1q5b02drak,,[지능 낮음],,,0,0
23576,PC,Player Character,Me look into things.,나 알아볼게.,m1q5b02drak,,[지능 낮음],,,0,0
23577,PC,Player Character,Have you found any new information?,새로운 정보 찾았어?,m1q5b02drak,,[지능 보통],,,0,0
23578,PC,Player Character,Gots new news at all?,새 소식 좀 있어?,m1q5b02drak,,[지능 낮음],,,0,0
23579,PC,Player Character [M1Q5B01],Tell me about the Sword Coast Boys.,검 해안의 패거리에 대해 말해줘.,m1q5b02drak,,m1q5b01harbclg8,[M1Q5B01],,0,0
23580,PC,Player Character [M1Q5B01],Tell me 'bout Sword Coast Boys.,검 해안의 패거리 말해줘.,m1q5b02drak,,m1q5b01harbclgh,[M1Q5B01],,0,0
23581,PC,Player Character [M1Q5B01],Tell me about this Snake Cult.,이 뱀 사교에 대해 말해줘.,m1q5b02drak,,m1q5b01harbclg9,[M1Q5B01],,0,0
23582,PC,Player Character [M1Q5B01],Tell about Snake Cult thingy.,뱀 사교 그거 말해줘.,m1q5b02drak,,m1q5b01harbclgi,[M1Q5B01],,0,0
23583,PC,Player Character,Where do you think the threat originates from?,그 위협이 어디서 비롯됐다고 보지?,m1q5b02drak,,[지능 보통],,,0,0
63025,PC,Player Character,You says what yous need here.,여기 필요한 거 말해.,m1q5b02drak,,[지능 낮음],,,0,0
63026,PC,Player Character,Go over what is required.,필요한 게 뭔지 다시 설명해 줘.,m1q5b02drak,,[지능 보통],,,0,0
66949,PC,Player Character,Anyone need immediate help?,당장 도움이 필요한 사람 있어?,m1q5b02drak,,[지능 보통],,,0,0
66950,PC,Player Character,Any guys need helps to come fast?,빨리 도와줘야 하는 사람 있어?,m1q5b02drak,,[지능 낮음],,,0,0
