StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50764,PC,Player Character,I'm ready to learn how to level up.,레벨업하는 법을 배울 준비가 됐습니다.,m0q01a15gend,,[지능 보통],,,0,0
50765,PC,Player Character,Me ready for learn how level up.,나 레벨업 배우기 준비됐어.,m0q01a15gend,,[지능 낮음],,,0,0
50766,PC,Player Character,Could you teach me how to level up?,레벨업하는 법을 가르쳐 주실 수 있나요?,m0q01a15gend,,[지능 보통],,,0,0
50767,PC,Player Character,You teach me how level up.,너 나한테 레벨업 가르쳐.,m0q01a15gend,,[지능 낮음],,,0,0
50768,PC,Player Character,I don't need you to teach me how to level up.,레벨업 방법은 가르쳐 주시지 않아도 됩니다.,m0q01a15gend,,[지능 보통],,,0,0
50769,PC,Player Character,Me not need you teach me how level up!,나 레벨업 배우는 거 필요 없어!,m0q01a15gend,,[지능 낮음],,,0,0
50770,PC,Player Character,Ready.,준비됐습니다.,m0q01a15gend,,,,,0,0
50771,PC,Player Character,Can you go over that again?,다시 한번 설명해 주시겠어요?,m0q01a15gend,,[지능 보통],,,0,0
50772,PC,Player Character,Me need you say that again.,나 다시 말해줘.,m0q01a15gend,,[지능 낮음],,,0,0
50773,PC,Player Character,Please continue.,계속해 주세요.,m0q01a15gend,,,,,0,0
50774,PC,Player Character,Can you go over that again?,다시 한번 설명해 주시겠어요?,m0q01a15gend,,[지능 보통],,,0,0
50775,PC,Player Character,Me want you go over that stuff again.,나 다시 설명해줘.,m0q01a15gend,,[지능 낮음],,,0,0
50776,PC,Player Character,Simple enough.,충분히 쉽군요.,m0q01a15gend,,,,,0,0
50777,PC,Player Character,You lost me.,무슨 말인지 모르겠어요.,m0q01a15gend,,,,,0,0
65979,PC,Player Character,What was that?,그게 뭐였죠?,m0q01a15gend,,,,,0,0
65980,PC,Player Character,Go on.,계속해 주세요.,m0q01a15gend,,,,,0,0
65981,PC,Player Character,"You maybe say that stuff over, okay?",너 다시 말해줘.,m0q01a15gend,,[지능 낮음],,,0,0
65982,PC,Player Character,Could you go over that again?,다시 한번 설명해 주시겠어요?,m0q01a15gend,,[지능 보통],,,0,0
65983,PC,Player Character,Me gots it. What's else you want to say?,나 알겠어. 다른 거 말해줄 거 있어?,m0q01a15gend,,[지능 낮음],,,0,0
65984,PC,Player Character,I understand. Anything else?,알겠습니다. 다른 건요?,m0q01a15gend,,[지능 보통],,,0,0
