StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
46651,PC,Player Character,Why are the dwarves at war with you?,왜 드워프들이 너희와 전쟁을 벌이는 거야?,m3q3c03arwyl,,[지능 보통],,,0,0
46652,PC,Player Character,Me wonders what dwarf is fighting you for.,나 궁금해 드워프 왜 너희 싸워.,m3q3c03arwyl,,[지능 낮음],,,0,0
46653,PC,Player Character,"All right, dryad. Now it's your turn to die.","알았어, 드라이어드. 이제 네가 죽을 차례야.",m3q3c03arwyl,,[지능 보통],,,0,0
46654,PC,Player Character,Me likes killing dryad. You ready to die?,나 드라이어드 죽이는 거 좋아. 너 죽을 준비됐어?,m3q3c03arwyl,,[지능 낮음],,,0,0
46655,PC,Player Character,I think I will go now. Farewell.,이제 가볼게. 안녕.,m3q3c03arwyl,,[지능 보통],,,0,0
46656,PC,Player Character,Me not talk no more. Me go. Bye!,나 더 얘기 안 해. 나 가. 안녕!,m3q3c03arwyl,,[지능 낮음],,,0,0
46657,PC,Player Character,What is this place? How can this world exist inside a snow globe?,여기가 어디야? 어떻게 이 세계가 스노 글로브 안에 있을 수 있어?,m3q3c03arwyl,,[지능 보통],,,0,0
46658,PC,Player Character,What this place be? How it be inside snowball?,여기 뭐야? 어떻게 눈 내리는 공 안에 있어?,m3q3c03arwyl,,[지능 낮음],,,0,0
46659,PC,Player Character,I want to ask you some questions.,질문 좀 하고 싶어.,m3q3c03arwyl,,[지능 보통],,,0,0
46660,PC,Player Character,Me want ask you some questions.,나 질문 좀 하고 싶어.,m3q3c03arwyl,,[지능 낮음],,,0,0
46661,PC,Player Character,Have you always been at war with the dwarves?,드워프들과 항상 전쟁을 해왔어?,m3q3c03arwyl,,[지능 보통],,,0,0
46662,PC,Player Character,You always be at war with dwarves?,너 항상 드워프랑 전쟁해?,m3q3c03arwyl,,[지능 낮음],,,0,0
46663,PC,Player Character [M3Q03C03],What do you make of this amulet?,이 호신부를 어떻게 생각해?,m3q3c03arwyl,,m3q03c03arwysgk2,[M3Q03C03],,0,0
46664,PC,Player Character [M3Q03C03],What you think 'bout this amulet?,이 호신부 어떻게 생각해?,m3q3c03arwyl,,m3q03c03arwysgk1,[M3Q03C03],,0,0
46665,PC,Player Character,That's horrible!,끔찍하네!,m3q3c03arwyl,,[지능 보통],,,0,0
46666,PC,Player Character,That be bad life.,그거 나쁜 삶이야.,m3q3c03arwyl,,[지능 낮음],,,0,0
46667,PC,Player Character,You are immortal! You get to live forever.,넌 불멸이잖아! 영원히 살 수 있어.,m3q3c03arwyl,,[지능 보통],,,0,0
46668,PC,Player Character,You not never die. You be live forever!,너 안 죽어. 너 영원히 살아!,m3q3c03arwyl,,[지능 낮음],,,0,0
46669,PC,Player Character,Can you do anything to fix it?,고칠 방법이 있어?,m3q3c03arwyl,,[지능 보통],,,0,0
46670,PC,Player Character,You know how for fix it?,너 고치는 방법 알아?,m3q3c03arwyl,,[지능 낮음],,,0,0
46671,PC,Player Character,Can you make it magic?,그걸 마법으로 만들 수 있어?,m3q3c03arwyl,,[지능 보통],,,0,0
46672,PC,Player Character,You know how make it magic?,너 마법으로 만드는 방법 알아?,m3q3c03arwyl,,[지능 낮음],,,0,0
46673,PC,Player Character,Are you okay? Is something wrong?,괜찮아? 무슨 문제 있어?,m3q3c03arwyl,,[지능 보통],,,0,0
46674,PC,Player Character,What the matter with you?,너 무슨 일 있어?,m3q3c03arwyl,,[지능 낮음],,,0,0
46675,PC,Player Character,Tell me more about this vision.,그 환영에 대해 좀 더 말해줘.,m3q3c03arwyl,,[지능 보통],,,0,0
46676,PC,Player Character,You say more 'bout this vision.,너 환영 얘기 더 해줘.,m3q3c03arwyl,,[지능 낮음],,,0,0
46677,PC,Player Character,Maybe I could free you from this Master.,내가 이 주인으로부터 널 해방시켜 줄 수도 있어.,m3q3c03arwyl,,[지능 보통],,,0,0
46678,PC,Player Character,Maybe me could free you from this Master.,나 주인한테서 너 자유롭게 해줄 수 있어.,m3q3c03arwyl,,[지능 낮음],,,0,0
46679,PC,Player Character,Immortal? What are you talking about?,불멸? 무슨 말을 하는 거야?,m3q3c03arwyl,,[지능 보통],,,0,0
46680,PC,Player Character,Immortal? What you mean by that?,불멸? 그게 무슨 뜻이야?,m3q3c03arwyl,,[지능 낮음],,,0,0
