StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
97244,PC,Player Character,"""Goodbye.""","""안녕.""",h2_pilg_generic,,,,,0,0
97245,PC,Player Character,"""Do you know the Reaper's True Name?""","""사신의 진명을 알아?""",h2_pilg_generic,,h2c_reaper_name,,,0,0
97246,PC,Player Character,"""I need to return home to the world of Toril.""","""토릴의 세계로 집에 돌아가야 해.""",h2_pilg_generic,,,,,0,0
97247,PC,Player Character,"""That's a defeatist attitude...""","""그건 패배주의적인 태도야...""",h2_pilg_generic,,,,,0,0
97248,PC,Player Character,"""Been here long?""","""여기 온 지 오래됐어?""",h2_pilg_generic,,,,,0,0
97249,PC,Player Character,"""Why so glum, chum?""","""왜 그렇게 우울해, 친구?""",h2_pilg_generic,,,,,0,0
97250,PC,Player Character,"""Why did you come here?""","""왜 여기 왔어?""",h2_pilg_generic,,,,,0,0
97251,PC,Player Character,"""Why won't she let you see him?""","""왜 그녀가 너희를 그분을 만나게 해주지 않는 거야?""",h2_pilg_generic,,,,,0,0
97252,PC,Player Character,"""What kinds of mysteries?""","""어떤 종류의 수수께끼들?""",h2_pilg_generic,,,,,0,0
97253,PC,Player Character,"""Who's the Sleeping Man?""","""잠자는 자가 누구야?""",h2_pilg_generic,,,,,0,0
97254,PC,Player Character,"""The sensei? Who's that?""","""사부? 그게 누구야?""",h2_pilg_generic,,,,,0,0
97255,PC,Player Character,"""What mess did the sensei get you into?""","""사부가 너희를 무슨 곤경에 빠뜨린 거야?""",h2_pilg_generic,,,,,0,0
97256,PC,Player Character,"""Limbo? Where's that?""","""림보? 그게 어디야?""",h2_pilg_generic,,,,,0,0
97257,PC,Player Character,"""Tiefling?""","""티플링?""",h2_pilg_generic,,,,,0,0
97258,PC,Player Character,"""Why, what issue did you have with him?""","""왜, 그 사람과 무슨 문제가 있었어?""",h2_pilg_generic,,,,,0,0
97259,PC,Player Character,"""What issue did he have with the sensei?""","""그 사람이 사부와 무슨 문제가 있었어?""",h2_pilg_generic,,,,,0,0
97260,PC,Player Character,"""Who's the Sleeping Man?""","""잠자는 자가 누구야?""",h2_pilg_generic,,,,,0,0
97261,PC,Player Character,"""The sensei? Who's that?""","""사부? 그게 누구야?""",h2_pilg_generic,,,,,0,0
97262,PC,Player Character,"""Who's the Sleeping Man?""","""잠자는 자가 누구야?""",h2_pilg_generic,,,,,0,0
97263,PC,Player Character,"""What mess did the sensei get you into?""","""사부가 너희를 무슨 곤경에 빠뜨린 거야?""",h2_pilg_generic,,,,,0,0
97264,PC,Player Character,"""That winged chap in the tavern... You know him?""","""선술집에 있는 날개 달린 친구... 알아?""",h2_pilg_generic,,h2c_pilg_arden,,,0,0
97265,PC,Player Character,"""How did he plan to wake the Sleeping Man?""","""어떻게 잠자는 자를 깨울 계획이었어?""",h2_pilg_generic,,,,,0,0
97266,PC,Player Character,"""I seek answers to the Five-Fold Mysteries.""","""오중 수수께끼에 대한 답을 찾고 있어.""",h2_pilg_generic,,h2c_pilg_5fold,,,0,0
97267,PC,Player Character,"""What do you mean?""","""무슨 뜻이야?""",h2_pilg_generic,,,,,0,0
97268,PC,Player Character,"""Romantic?""","""낭만적?""",h2_pilg_generic,,,,,0,0
