StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
97791,PC,Player Character,"""Of course, Sensei.""","""물론이죠, 사부님.""",h2_pilg_sensei,,,,,0,0
97792,PC,Player Character,"""I'm sorry, I seem to have lost the amulet you gave me.""","""죄송합니다, 주신 호신부를 잃어버린 것 같습니다.""",h2_pilg_sensei,,h2c_sens_noamul,,,0,0
97793,PC,Player Character,"""How does this amulet you gave me work?""","""주신 이 호신부는 어떻게 작동하는 겁니까?""",h2_pilg_sensei,,h2c_sens_amulet,,,0,0
97794,PC,Player Character,"""Thank you, Sensei.""","""감사합니다, 사부님.""",h2_pilg_sensei,,,,,0,0
97795,PC,Player Character,"""Do you know the Reaper's True Name?""","""사신의 진명을 아십니까?""",h2_pilg_sensei,,h2c_reaper_name,,,0,0
97796,PC,Player Character,"""The Five-Fold Mysteries? What are those?""","""오중 수수께끼요? 그게 뭡니까?""",h2_pilg_sensei,,,,,0,0
97797,PC,Player Character,"""What do you mean by your Pilgrims?""","""순례자들이라는 건 무슨 뜻입니까?""",h2_pilg_sensei,,,,,0,0
97798,PC,Player Character,"""How does one travel from plane to plane?""","""차원에서 차원으로는 어떻게 이동합니까?""",h2_pilg_sensei,,,,,0,0
97799,PC,Player Character,"""Where do they lead?""","""그것들은 어디로 이어집니까?""",h2_pilg_sensei,,,,,0,0
97800,PC,Player Character,"""How can I make the Reaper do my bidding?""","""사신을 제 뜻대로 따르게 하려면 어떻게 해야 합니까?""",h2_pilg_sensei,,,,,0,0
97801,PC,Player Character,"""What do you mean 'until he dreams the answer'?""","""'답을 꿈꿀 때까지'라니 무슨 뜻입니까?""",h2_pilg_sensei,,,,,0,0
97802,PC,Player Character,"""What have you learned from him?""","""그에게서 무엇을 배우셨습니까?""",h2_pilg_sensei,,,,,0,0
97803,PC,Player Character,"""What can you tell me about the planes?""","""차원들에 대해 말씀해주실 수 있습니까?""",h2_pilg_sensei,,,,,0,0
97804,PC,Player Character,"""I need to find a way back home.""","""고향으로 돌아갈 길을 찾아야 합니다.""",h2_pilg_sensei,,,,,0,0
97805,PC,Player Character,"""Tell me about the Sleeping Man.""","""잠자는 자에 대해 말씀해주십시오.""",h2_pilg_sensei,,,,,0,0
97806,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_pilg_sensei,,,,,0,0
97807,PC,Player Character,"""How do you know all of this about him?""","""그에 대해 이 모든 것을 어떻게 아십니까?""",h2_pilg_sensei,,,,,0,0
97808,PC,Player Character,"""Back to my other questions.""","""다른 질문으로 돌아가겠습니다.""",h2_pilg_sensei,,,,,0,0
97809,PC,Player Character,"""Who are the githzerai?""","""기스제라이는 누구입니까?""",h2_pilg_sensei,,,,,0,0
97810,PC,Player Character,<StartAction>Continue listening.</Start>,<StartAction>계속 듣습니다.</Start>,h2_pilg_sensei,,,,,0,0
97811,PC,Player Character,<StartAction>Continue listening.</Start>,<StartAction>계속 듣습니다.</Start>,h2_pilg_sensei,,,,,0,0
97812,PC,Player Character,<StartAction>Continue listening.</Start>,<StartAction>계속 듣습니다.</Start>,h2_pilg_sensei,,,,,0,0
