StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
29342,PC,Player Character,I'm very sorry. What is your name?,정말 미안해. 이름이 뭐야?,m2q1000jahel,,[매력 높음/지능 중간],,,0,0
29343,PC,Player Character,My apologies. Mind if I ask you some questions?,미안한데 몇 가지 물어봐도 돼?,m2q1000jahel,,[매력 높음/지능 중간],,,0,0
29344,PC,Player Character,You look like you are having a rough day. Why don't you tell me your name?,힘든 하루인 것 같네. 이름이 뭐야?,m2q1000jahel,,[매력 중간/지능 보통],,,0,0
29345,PC,Player Character,Could you answer some questions?,몇 가지 물어봐도 돼?,m2q1000jahel,,[매력 중간/지능 보통],,,0,0
29346,PC,Player Character,What's your name?,이름이 뭐야?,m2q1000jahel,,[매력 낮음/지능 중간],,,0,0
29347,PC,Player Character,"Yeah, whatever. I have a question.","그래 뭐 어쨌든. 질문 있어.",m2q1000jahel,,[매력 낮음/지능 중간],,,0,0
29348,PC,Player Character,No be 'fraid. Who you be?,무서워 마. 누구야?,m2q1000jahel,,[지능 낮음],,,0,0
29349,PC,Player Character,No be scared. Me have questions.,무서워 마. 나 질문 있어.,m2q1000jahel,,[지능 낮음],,,0,0
29350,PC,Player Character,Goodbye.,잘 있어.,m2q1000jahel,,,,,0,0
29351,PC,Player Character,They call me <FirstName>.,<FirstName>라고 불러.,m2q1000jahel,,[지능 보통],,,0,0
29352,PC,Player Character,My name is <FullName>. But please just call me <FirstName>. It is a pleasure to meet you Jaheel.,내 이름은 <FullName>야. 그냥 <FirstName>라고 불러. 만나서 반가워 자힐.,m2q1000jahel,,[지능 보통],,,0,0
29353,PC,Player Character,My name isn't important right now.,지금 내 이름은 중요하지 않아.,m2q1000jahel,,[지능 보통],,,0,0
29354,PC,Player Character,Me is <FirstName>.,나 <FirstName>야.,m2q1000jahel,,[지능 낮음],,,0,0
29355,PC,Player Character,Me called <FullName>. But you call me <FirstName>. I glad meet you.,나 <FullName>이야. 근데 <FirstName>라고 불러. 만나서 반가워.,m2q1000jahel,,[지능 낮음],,,0,0
29356,PC,Player Character,You no ask name. You not need know.,이름 물어봐도 안 돼. 알 필요 없어.,m2q1000jahel,,[지능 낮음],,,0,0
29357,PC,Player Character,What's so terrible about today?,오늘 뭐가 그렇게 안 좋아?,m2q1000jahel,,[지능 보통],,,0,0
29358,PC,Player Character,"I wish I could help you, but I am in need of a job. Do you know of anything?","도와주고 싶지만 나도 일자리가 필요해. 뭐 아는 거 있어?",m2q1000jahel,,[지능 보통],,,0,0
29359,PC,Player Character,I am hunting the cult that started the plague in Neverwinter. Have you heard anything about them?,네버윈터에 역병을 퍼뜨린 사교를 쫓고 있어. 뭐 들은 거 있어?,m2q1000jahel,,[지능 보통],,,0,0
29360,PC,Player Character,"I'd love to hear about your troubles, but just now I need some directions.","사정을 듣고 싶지만 지금은 길 좀 알아야 해.",m2q1000jahel,,[지능 보통],,,0,0
29361,PC,Player Character,"You know stuff 'bout cult that start bad plague in Neverwinter, maybe?",네버윈터에 나쁜 역병 퍼뜨린 사교 알아?,m2q1000jahel,,[지능 낮음],,,0,0
29362,PC,Player Character,Me need good job.,나 좋은 일자리 필요해.,m2q1000jahel,,[지능 낮음],,,0,0
29363,PC,Player Character,You no whine! You help me find stuff.,징징대지 마! 나 찾는 거 도와줘.,m2q1000jahel,,[지능 낮음],,,0,0
29364,PC,Player Character,"Oh lady, why so sad?",아줌마 왜 슬퍼?,m2q1000jahel,,[지능 낮음],,,0,0
29365,PC,Player Character,I am sorry your day is so dark. Might I ask for your name?,힘든 하루구나. 이름이 뭐야?,m2q1000jahel,,[지능 보통],,,0,0
29366,PC,Player Character,Who you?,누구야?,m2q1000jahel,,[지능 낮음],,,0,0
29367,PC,Player Character,What troubles are those?,무슨 걱정인데?,m2q1000jahel,,[지능 보통],,,0,0
29368,PC,Player Character,Why do you think the bandits took him captive?,왜 산적들이 잡아갔다고 생각해?,m2q1000jahel,,[지능 보통],,,0,0
29369,PC,Player Character,Do you know where the bandits took him?,산적들이 어디로 데려갔는지 알아?,m2q1000jahel,,[지능 보통],,,0,0
29370,PC,Player Character,Are you offering a reward for his rescue?,구해주면 보상 있어?,m2q1000jahel,,[지능 보통],,,0,0
29371,PC,Player Character,I would love to rescue him for you.,내가 구해줄게.,m2q1000jahel,,[지능 보통],,,0,0
29372,PC,Player Character,"That's rough, but I'm not really interested in getting my throat slit by a gang of thugs. Goodbye.","안됐지만 깡패들한테 목 따이긴 싫어. 잘 있어.",m2q1000jahel,,[지능 보통],,,0,0
29373,PC,Player Character,Why bad guys keep brother?,왜 나쁜 놈들이 오빠 잡아?,m2q1000jahel,,[지능 낮음],,,0,0
29374,PC,Player Character,Where they take brother?,오빠 어디로 데려갔어?,m2q1000jahel,,[지능 낮음],,,0,0
29375,PC,Player Character,You pay for rescue maybe?,구해주면 돈 줘?,m2q1000jahel,,[지능 낮음],,,0,0
29376,PC,Player Character,"Me tough guy, me rescue brother!","나 강해, 나 오빠 구해!",m2q1000jahel,,[지능 낮음],,,0,0
29377,PC,Player Character,Me too busy for rescue. You find someone else.,나 너무 바빠. 다른 사람 찾아.,m2q1000jahel,,[지능 낮음],,,0,0
29378,PC,Player Character,<StartCheck>[Persuade]</Start> Do you think I might be able to get an advance on that reward? To help me buy supplies for a rescue?,<StartCheck>[설득]</Start> 보상 일부 먼저 받을 수 있어? 구출 준비물 사야 해서.,m2q1000jahel,,[지능 보통],,,0,0
29379,PC,Player Character,"I'll do it, but words don't have any value. I want some gold up front to prove you have any. Now lady!","해줄게, 하지만 말로는 안 돼. 금화 있다는 걸 증명해. 당장!",m2q1000jahel,nw_d1_small_evil,[지능 보통],,,0,0
29380,PC,Player Character,I will do my best.,최선을 다할게.,m2q1000jahel,,[지능 보통],,,0,0
29381,PC,Player Character,"Neva is as good as rescued. Do not worry, my lady.","네바는 구한 거나 마찬가지야. 걱정 마.",m2q1000jahel,,[지능 보통],,,0,0
29382,PC,Player Character,"<StartCheck>[Persuade]</Start> Me need gold first, please.",<StartCheck>[설득]</Start> 나 금화 먼저 필요해 제발.,m2q1000jahel,,[지능 낮음],,,0,0
29383,PC,Player Character,Me no think you have reward. You pay some now to show.,나 네가 보상 있다고 안 믿어. 지금 좀 줘봐.,m2q1000jahel,nw_d1_small_evil,[지능 낮음],,,0,0
29384,PC,Player Character,Me go try best.,나 최선 다해 볼게.,m2q1000jahel,,[지능 낮음],,,0,0
29385,PC,Player Character,Neva be safe soon. Me get him.,네바 곧 안전해. 나 구해올게.,m2q1000jahel,,[지능 낮음],,,0,0
29386,PC,Player Character,I can't remember where you said that stone formation was.,그 바위 지형이 어디라고 했더라?,m2q1000jahel,,nw_d2_j_resc05,,,0,0
29387,PC,Player Character,"Not yet, but I'm working on it.",아직인데 하고 있어.,m2q1000jahel,,[지능 보통],,,0,0
29388,PC,Player Character,Don't rush me. I'll save him eventually.,재촉하지 마. 결국엔 구해줄 거야.,m2q1000jahel,,[지능 보통],,,0,0
29389,PC,Player Character,Me forget where Ninvi... er... Nivi... where brother be.,나 닌비... 어... 니비... 오빠 어디 있는지 까먹었어.,m2q1000jahel,,nw_d2_j_resc08,,,0,0
29390,PC,Player Character,"No, but me working on it.","아니, 근데 하고 있어.",m2q1000jahel,,[지능 낮음],,,0,0
29391,PC,Player Character,"Me do soon, or maybe later.","나 곧 해, 아니면 나중에.",m2q1000jahel,,[지능 낮음],,,0,0
29392,PC,Player Character,Tell me where he can be found.,어디 있는지 말해줘.,m2q1000jahel,,nw_d2_j_resc05,,,0,0
29393,PC,Player Character,You tell me where he be.,오빠 어디 있는지 말해줘.,m2q1000jahel,,nw_d2_j_resc08,,,0,0
29394,PC,Player Character,"Not yet, but I'm working on it.",아직인데 하고 있어.,m2q1000jahel,,[지능 보통],,,0,0
29395,PC,Player Character,Just be patient. I'll get to it in good time.,조금만 기다려. 때 되면 할 거야.,m2q1000jahel,,[지능 보통],,,0,0
29396,PC,Player Character,"No, but me working on it.","아니, 근데 하고 있어.",m2q1000jahel,,[지능 낮음],,,0,0
29397,PC,Player Character,"Me do soon, or maybe not.","나 곧 해, 아니면 안 할지도.",m2q1000jahel,,[지능 낮음],,,0,0
29398,PC,Player Character,No I am not with <CUSTOM1001>.,아니 <CUSTOM1001>이랑 같이 안 왔어.,m2q1000jahel,,[지능 보통],,,0,0
29399,PC,Player Character,"Yes, I'm with <CUSTOM1001>.","응 <CUSTOM1001>이랑 같이 왔어.",m2q1000jahel,,[지능 보통],,,0,0
29400,PC,Player Character,Me not with <CUSTOM1001>.,나 <CUSTOM1001>이랑 아니야.,m2q1000jahel,,[지능 낮음],,,0,0
29401,PC,Player Character,Yep - me with <CUSTOM1001>.,응 - 나 <CUSTOM1001>이랑 같이야.,m2q1000jahel,,[지능 낮음],,,0,0
29402,PC,Player Character,"Why don't you tell me about your troubles, so that I can assist you.","무슨 걱정인지 말해봐, 도와줄 수 있으니까.",m2q1000jahel,,[지능 보통],,,0,0
29403,PC,Player Character,"Me help, if you tell what me do.","나 도와줘, 뭐 하면 되는지 말해줘.",m2q1000jahel,,[지능 낮음],,,0,0
29404,PC,Player Character,Why do you think the bandits took him captive?,왜 산적들이 잡아갔다고 생각해?,m2q1000jahel,,[지능 보통],,,0,0
29405,PC,Player Character,Do you know where the bandits took him?,산적들이 어디로 데려갔는지 알아?,m2q1000jahel,,[지능 보통],,,0,0
29406,PC,Player Character,Are you offering a reward for his rescue?,구해주면 보상 있어?,m2q1000jahel,,[지능 보통],,,0,0
29407,PC,Player Character,I would love to rescue him for you.,내가 구해줄게.,m2q1000jahel,,[지능 보통],,,0,0
29408,PC,Player Character,"That's rough, but I'm not really interested in getting my throat slit by a gang of thugs. Goodbye.","안됐지만 깡패들한테 목 따이긴 싫어. 잘 있어.",m2q1000jahel,,[지능 보통],,,0,0
29409,PC,Player Character,Why bad guys keep brother?,왜 나쁜 놈들이 오빠 잡아?,m2q1000jahel,,[지능 낮음],,,0,0
29410,PC,Player Character,Where they take brother?,오빠 어디로 데려갔어?,m2q1000jahel,,[지능 낮음],,,0,0
29411,PC,Player Character,You pay for rescue maybe?,구해주면 돈 줘?,m2q1000jahel,,[지능 낮음],,,0,0
29412,PC,Player Character,"Me tough, me rescue brother!","나 강해, 나 오빠 구해!",m2q1000jahel,,[지능 낮음],,,0,0
29413,PC,Player Character,Me too busy for rescue. You find someone else.,나 너무 바빠. 다른 사람 찾아.,m2q1000jahel,,[지능 낮음],,,0,0
58654,PC,Player Character,<< Enter text here >>,<< Enter text here >>,m2q1000jahel,,,,,0,0
58655,PC,Player Character,,,m2q1000jahel,,,,,0,0
