StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
71043,PC,Player Character,I should go.,이제 가야겠어.,q1idaschnaya,,,,,0,0
71044,PC,Player Character,Who are you?,넌 누구야?,q1idaschnaya,,,,,0,0
71045,PC,Player Character,A reading?,점을?,q1idaschnaya,,,,,0,0
71046,PC,Player Character,Very well. I'll go.,알았어. 갈게.,q1idaschnaya,,,,,0,0
71047,PC,Player Character,"I have your cards, here.",여기 네 카드 있어.,q1idaschnaya,,con_katriana_2,,,0,0
71048,PC,Player Character,"Anything of value. Cough it up or die, woman.","가치 있는 거 뭐든지. 내놓든지 죽든지 골라, 여자.",q1idaschnaya,x0_d1_dideviltny,,,,0,0
71049,PC,Player Character,"Coin would be fine. Or gems, jewels, anything valuable.","동전이면 좋겠어. 아니면 보석, 장신구, 가치 있는 거 뭐든지.",q1idaschnaya,,,,,0,0
71050,PC,Player Character,Your valuables for your life. Now that's a fair trade.,네 귀중품과 네 목숨을 맞바꾸는 거야. 공정한 거래지.,q1idaschnaya,x0_d1_dideviltny,,,,0,0
71051,PC,Player Character,I prize gold much more highly.,금을 훨씬 더 높이 평가해.,q1idaschnaya,,,,,0,0
71052,PC,Player Character,Alright. But make it good.,좋아. 하지만 제대로 해.,q1idaschnaya,,,,,0,0
71053,PC,Player Character,Katriana mentioned something about a reading...,카트리아나가 점에 대해 뭔가 얘기했는데...,q1idaschnaya,,,,,0,0
71054,PC,Player Character,"Actually, I'd prefer something more substantial as a reward.","사실, 보상으로 더 실질적인 걸 받고 싶어.",q1idaschnaya,,,,,0,0
71055,PC,Player Character,"Yes, I'd like that.","그래, 좋아.",q1idaschnaya,,,,,0,0
71056,PC,Player Character,"Perhaps not. But take the cards anyway, they're yours.","아닐지도. 하지만 어쨌든 카드 가져가, 네 거야.",q1idaschnaya,x0_d1_didgoodsml,,,,0,0
71057,PC,Player Character,I need no reward. The cards are yours.,보상은 필요 없어. 카드는 네 거야.,q1idaschnaya,act_dashn_1,,,,0,0
71058,PC,Player Character,I do not believe in your hedge magics.,네 엉터리 마법 따위 믿지 않아.,q1idaschnaya,,,,,0,0
71059,PC,Player Character,No. I've no interest in such a thing.,아니. 그런 거 관심 없어.,q1idaschnaya,,,,,0,0
71060,PC,Player Character,Very well. That's very kind of you.,알았어. 참 친절하네.,q1idaschnaya,,,,,0,0
71061,PC,Player Character,Whose hands?,누구 손?,q1idaschnaya,,,,,0,0
71062,PC,Player Character,That's it? I should cut your throat for giving me that garbage!,그게 다야? 이따위 헛소리 해주고 목을 베어버려야겠어!,q1idaschnaya,,,,,0,0
71063,PC,Player Character,"Well, thanks for nothing.","뭐, 도움 하나도 안 됐네.",q1idaschnaya,,,,,0,0
71064,PC,Player Character,"Thank you, Daschnaya.","고마워, 다슈나.",q1idaschnaya,,,,,0,0
