StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
24475,PC,Player Character,Could I ask you some questions?,몇 가지 물어봐도 될까?,nwgencustomer,,[지능 보통],,,0,0
24476,PC,Player Character,Me want ask questions.,나 질문할래.,nwgencustomer,,[지능 낮음],,,0,0
24477,PC,Player Character,Goodbye.,그럼 이만.,nwgencustomer,,,,,0,0
24478,PC,Player Character,You're sure you haven't heard anything?,정말 아무것도 못 들었나?,nwgencustomer,,[지능 보통],,,0,0
24479,PC,Player Character,What do you think of how the plague is being dealt with?,역병 대응 방식에 대해 어떻게 생각하지?,nwgencustomer,,[지능 보통],,,0,0
24480,PC,Player Character,You sure you not hear nothing?,정말 아무것도 못 들었어?,nwgencustomer,,[지능 낮음],,,0,0
24481,PC,Player Character,What you think about how plague thing is being fighted?,"역병 어떻게 막는지, 너는 뭐 생각해?",nwgencustomer,,[지능 낮음],,,0,0
24482,PC,Player Character,Who is Aarin Gend?,아린 겐드가 누구죠?,nwgencustomer,,[지능 보통],,,0,0
24483,PC,Player Character,Why the animosity toward priests?,왜 성직자들을 그렇게 싫어하지?,nwgencustomer,,[지능 보통],,,0,0
24484,PC,Player Character,"What do you mean by ""strange creatures?""","""이상한 생명체들""이란 게 무슨 뜻이야?",nwgencustomer,,[매력 중간/지능 중간],,,0,0
24485,PC,Player Character,Who this Aarin Gend?,그 아린 겐드가 누구야?,nwgencustomer,,[지능 낮음],,,0,0
24486,PC,Player Character,Why you not like priest guys?,왜 사제들 싫어해?,nwgencustomer,,[지능 낮음],,,0,0
24487,PC,Player Character,"What you mean by ""strange creatures?""","""이상한 생명체들""이 무슨 뜻이야?",nwgencustomer,,[매력 중간/지능 낮음],,,0,0
24488,PC,Player Character,Have you heard anything interesting?,흥미로운 소문 들은 거 있나?,nwgencustomer,,[지능 보통],,,0,0
24489,PC,Player Character,You hear abouts anything interesting or something?,재밌는 거 뭐 들었어?,nwgencustomer,,[지능 낮음],,,0,0
24490,PC,Player Character,Back to my first questions.,처음 질문으로 돌아가자.,nwgencustomer,,[지능 보통],,,0,0
24491,PC,Player Character,"Back to first questions, okay?","처음 질문으로 돌아가자, 알겠지?",nwgencustomer,,[지능 낮음],,,0,0
24492,PC,Player Character,Nevermind.,됐어.,nwgencustomer,,,,,0,0
24493,PC,Player Character,Maybe I should try and find this Aarin Gend.,아린 겐드를 찾아봐야 할 것 같군.,nwgencustomer,,[지능 보통],,,0,0
24494,PC,Player Character,Maybe me try to find this guy Aarin?,나 그 아린이라는 사람 찾아볼까?,nwgencustomer,,[지능 낮음],,,0,0
