StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81460,Dialog,MACH_PILLAR,"<StartHighlight>[There is an old inscription on this obelisk. The language is unfamiliar, but further study could possibly reveal its nature.]</Start>","<StartHighlight>[이 비석에 오래된 비문이 있다. 낯선 언어지만, 더 연구하면 그 내용을 밝힐 수 있을지도 모른다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81461,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""The gift of the fairy can really be fun, when used on the offense, your opponents it will stun.""","<StartCheck>[성공]</Start> ""요정의 선물은 정말 재미있을 수 있으니, 공격에 쓰면 적을 기절시키리.""",Q3_MACH_PILLAR,,,,,0,0
81462,Dialog,MACH_PILLAR,"<StartCheck>[Failure]</Start> <StartHighlight>[Though you discern that the writing is some form of instructions, you can not discern the rest.]</Start>","<StartCheck>[실패]</Start> <StartHighlight>[어떤 종류의 지침임은 알아챘지만, 나머지는 해독할 수 없다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81463,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""The gift of the fairy can really be fun, when used on the offense, your opponents it will stun.""","<StartCheck>[성공]</Start> ""요정의 선물은 정말 재미있을 수 있으니, 공격에 쓰면 적을 기절시키리.""",Q3_MACH_PILLAR,,,,,0,0
81464,Dialog,MACH_PILLAR,"""But defensively used and even when you attack you will be seen by no one.""","""하지만 방어로 쓰면 공격할 때도 아무도 너를 보지 못하리.""",Q3_MACH_PILLAR,,,,,0,0
81465,Dialog,MACH_PILLAR,"<StartHighlight>[There is an old inscription on this obelisk. The language is unfamiliar, but further study could possibly reveal its nature.]</Start>","<StartHighlight>[이 비석에 오래된 비문이 있다. 낯선 언어지만, 더 연구하면 그 내용을 밝힐 수 있을지도 모른다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81466,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""Ten tongues of a creature from some other plane, can be used to destroy your foe in an instant of pain.""","<StartCheck>[성공]</Start> ""다른 차원 생명체의 혀 열 개로, 순간의 고통 속에 적을 파괴할 수 있으리.""",Q3_MACH_PILLAR,,,,,0,0
81467,Dialog,MACH_PILLAR,"<StartCheck>[Failure]</Start> <StartHighlight>[Though you discern that the writing is some form of instructions, you can not discern the rest.]</Start>","<StartCheck>[실패]</Start> <StartHighlight>[어떤 종류의 지침임은 알아챘지만, 나머지는 해독할 수 없다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81468,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""Ten tongues of a creature from some other plane, can be used to destroy your foe in an instant of pain.""","<StartCheck>[성공]</Start> ""다른 차원 생명체의 혀 열 개로, 순간의 고통 속에 적을 파괴할 수 있으리.""",Q3_MACH_PILLAR,,,,,0,0
81469,Dialog,MACH_PILLAR,"""But six in defense protects from air, earth, water, and flame.""","""하지만 방어로 여섯 개 쓰면 공기, 대지, 물, 불꽃으로부터 지켜주리.""",Q3_MACH_PILLAR,,,,,0,0
81470,Dialog,MACH_PILLAR,"<StartHighlight>[There is an old inscription on this obelisk. The language is unfamiliar, but further study could possibly reveal its nature.]</Start>","<StartHighlight>[이 비석에 오래된 비문이 있다. 낯선 언어지만, 더 연구하면 그 내용을 밝힐 수 있을지도 모른다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81471,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""The blood of the dragon, the worst kind of foe, when joined to your offense, backwards your opponents will blow.""","<StartCheck>[성공]</Start> ""가장 무서운 적인 용의 피를, 공격에 더하면 적이 뒤로 날아가리.""",Q3_MACH_PILLAR,,,,,0,0
81472,Dialog,MACH_PILLAR,"<StartCheck>[Failure]</Start> <StartHighlight>[Though you discern that the writing is some form of instructions, you can not discern the rest.]</Start>","<StartCheck>[실패]</Start> <StartHighlight>[어떤 종류의 지침임은 알아챘지만, 나머지는 해독할 수 없다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81473,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""The blood of the dragon, the worst kind of foe, when joined to your offense, backwards your opponents will blow.""","<StartCheck>[성공]</Start> ""가장 무서운 적인 용의 피를, 공격에 더하면 적이 뒤로 날아가리.""",Q3_MACH_PILLAR,,,,,0,0
81474,Dialog,MACH_PILLAR,"""Defensively used your skin will harden against all woe.""","""방어로 쓰면 네 피부가 모든 재앙에 굳어지리.""",Q3_MACH_PILLAR,,,,,0,0
81475,Dialog,MACH_PILLAR,"<StartHighlight>[There is an old inscription on this obelisk. The language is unfamiliar, but further study could possibly reveal its nature.]</Start>","<StartHighlight>[이 비석에 오래된 비문이 있다. 낯선 언어지만, 더 연구하면 그 내용을 밝힐 수 있을지도 모른다.]</Start>",Q3_MACH_PILLAR,,,,,0,0
81476,Dialog,MACH_PILLAR,"<StartCheck>[Success]</Start> ""When four of the sweet belladonna roots grow, those who attack you can be made slow.""","<StartCheck>[성공]</Start> ""달콤한 벨라도나 뿌리 네 개가 자라면, 너를 공격하는 자를 느리게 만들 수 있으리.""",Q3_MACH_PILLAR,,,,,0,0
