StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37378,PC,Player Character,I am not Karlat.,난 칼랏이 아니야.,m2q3k10balor,,,,,0,0
37379,PC,Player Character,Me not Karlat.,나 칼랏 아니야.,m2q3k10balor,,,,,0,0
37380,PC,Player Character,What manner of demon are you?,너 무슨 종류의 악마야?,m2q3k10balor,,,,,0,0
37381,PC,Player Character,What demon kind is you?,너 무슨 종류 악마야?,m2q3k10balor,,,,,0,0
37382,PC,Player Character,Foul beast! Belay your tempting tongue.,더러운 짐승! 유혹하는 혓바닥 집어넣어.,m2q3k10balor,,,,,0,0
37383,PC,Player Character,Foul thing! Me not listen to your words!,더러운 놈! 나 네 말 안 들어!,m2q3k10balor,,,,,0,0
37384,PC,Player Character,I tell you I am not Karlat!,내가 칼랏이 아니라니까!,m2q3k10balor,,,,,0,0
37385,PC,Player Character,But me not Karlat!,근데 나 칼랏 아니야!,m2q3k10balor,,,,,0,0
37386,PC,Player Character,Divination?,예지술?,m2q3k10balor,,,,,0,0
37387,PC,Player Character,Divi-whasis?,예-뭐시기?,m2q3k10balor,,,,,0,0
37388,PC,Player Character,"I will not speak, demon! I will destroy you!",악마한테 말 안 해! 널 죽여버릴 거야!,m2q3k10balor,,,,,0,0
37389,PC,Player Character,"Me say nothing, demon! Me destroy you!","나 말 안 해, 악마! 나 너 죽여!",m2q3k10balor,,,,,0,0
37390,PC,Player Character,Tell me of my past. What I did to get here.,내 과거에 대해 말해줘. 내가 뭘 해서 여기까지 왔는지.,m2q3k10balor,,,,,0,0
37391,PC,Player Character,Talk of past for me.,나 과거 얘기 해줘.,m2q3k10balor,,,,,0,0
37392,PC,Player Character,What could go wrong in my transformation?,변신에 무슨 문제가 생길 수 있어?,m2q3k10balor,,,,,0,0
37393,PC,Player Character,What might go bad when me change?,나 변할 때 뭐가 잘못될 수 있어?,m2q3k10balor,,,,,0,0
37394,PC,Player Character,What happens if I become a lich?,리치가 되면 어떻게 되는 거야?,m2q3k10balor,,,,,0,0
37395,PC,Player Character,What happens if me become lich?,나 리치 되면 어떻게 돼?,m2q3k10balor,,,,,0,0
37396,PC,Player Character,Goodbye.,안녕.,m2q3k10balor,,,,,0,0
37397,PC,Player Character,What do you know of the Cult of the Old Ones?,구자들의 사교에 대해 뭘 알아?,m2q3k10balor,,,,,0,0
37398,PC,Player Character,What you know of Old One cult?,너 구자들 사교에 대해 뭘 알아?,m2q3k10balor,,,,,0,0
37399,PC,Player Character,Goodbye.,안녕.,m2q3k10balor,,,,,0,0
