StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
58874,PC,Player Character,Goodbye.,안녕.,m2q1afarmer,,,,,0,0
58875,PC,Player Character,'Nuff dumb talkin'. You answer me questions.,바보같은 얘기 그만. 너 내 질문 답해.,m2q1afarmer,,[지능 낮음],,,0,0
58876,PC,Player Character,Me feel terrible.,나 기분 나빠.,m2q1afarmer,,[지능 낮음],,,0,0
58877,PC,Player Character,"Me fine, thank you.","나 괜찮아, 고마워.",m2q1afarmer,,[지능 낮음],,,0,0
58878,PC,Player Character,"Enough with the chit chat, I have some questions for you.","잡담은 그만하고, 질문 좀 할게.",m2q1afarmer,,[지능 보통],,,0,0
58879,PC,Player Character,We need talk 'bout gold.,우리 금화 얘기해야 해.,m2q1afarmer,,[지능 낮음],,,0,0
58880,PC,Player Character,What you know 'bout evil cult?,너 사악한 사교에 대해 뭐 알아?,m2q1afarmer,,[지능 낮음],,,0,0
58881,PC,Player Character,You tell me where stuff be?,너 물건 어디 있는지 말해줘?,m2q1afarmer,,[지능 낮음],,,0,0
58882,PC,Player Character,What happen round here?,여기 무슨 일 일어나?,m2q1afarmer,,[지능 낮음],,,0,0
58883,PC,Player Character,We need to talk about finances.,재정에 대해 얘기해야겠어.,m2q1afarmer,,[지능 보통],,,0,0
58884,PC,Player Character,"Give me you gold, or you farm with broken leg.","나 금화 줘, 아니면 너 다리 부러진 채로 농사해.",m2q1afarmer,nw_d1_mid_evil,[지능 낮음],,,0,0
58885,PC,Player Character,"<StartCheck>[Lie]</Start> Aribeth send me to get gold, so you give.","<StartCheck>[거짓말]</Start> 아리베스 나 보내서 금화 가져가라 해, 그러니 줘.",m2q1afarmer,,[지능 낮음],,,0,0
58886,PC,Player Character,Give me some gold or you'll be harvesting with a broken leg.,"금화 좀 줘, 아니면 다리 부러진 채로 수확하게 될 거야.",m2q1afarmer,nw_d1_mid_evil,[지능 보통],,,0,0
58887,PC,Player Character,<StartCheck>[Lie]</Start> Lady Aribeth has sent me to collect a special tax to help finance the search for the cult.,<StartCheck>[거짓말]</Start> 아리베스 경께서 사교를 찾는 데 드는 비용을 위해 특별세를 걷으라고 보내셨어요.,m2q1afarmer,nw_d1_small_evil,[지능 보통],,,0,0
58888,PC,Player Character,Goodbye.,안녕.,m2q1afarmer,,,,,0,0
58889,PC,Player Character,"Um, sorry, nevermind.","음, 미안해, 잊어버려.",m2q1afarmer,,,,,0,0
58890,PC,Player Character,What do you know about the cult that started the plague?,역병을 일으킨 사교에 대해 뭘 알아?,m2q1afarmer,,[지능 보통],,,0,0
58891,PC,Player Character,Can you give me directions?,길 좀 알려줄 수 있어?,m2q1afarmer,,[지능 보통],,,0,0
58892,PC,Player Character,What's going on around here?,여기 무슨 일이 벌어지고 있어?,m2q1afarmer,,[지능 보통],,,0,0
58893,PC,Player Character,No clue.,모르겠어.,m2q1afarmer,,,,,0,0
58894,PC,Player Character,"Uh, sure.","어, 그래.",m2q1afarmer,,,,,0,0
58895,PC,Player Character,I feel terrible.,기분이 안 좋아.,m2q1afarmer,,[지능 보통],,,0,0
58896,PC,Player Character,"I'm fine, thank you.","괜찮아, 고마워.",m2q1afarmer,,[지능 보통],,,0,0
58897,PC,Player Character,Me want talk 'bout different things.,나 다른 거 얘기하고 싶어.,m2q1afarmer,,[지능 낮음],,,0,0
58898,PC,Player Character,Why me sad 'bout weather?,왜 나 날씨 때문에 슬퍼?,m2q1afarmer,,[지능 낮음],,,0,0
58899,PC,Player Character,I want to talk about something else.,다른 얘기를 하고 싶어.,m2q1afarmer,,[지능 보통],,,0,0
58900,PC,Player Character,Why would I be depressed about the weather?,왜 날씨 때문에 우울해야 하는데?,m2q1afarmer,,[지능 보통],,,0,0
